year,month,day,prcp,tmax,tmin
1988,11,27,0,26.7,15
1988,12,18,0,7.2,-8.3
1988,12,25,0,25,13.3
1988,12,29,0,17.8,3.9
1989,1,4,5.1,17.8,2.2
1989,1,8,0,27.2,10.6
1989,1,16,17.3,26.7,11.1
1989,1,17,NA,NA,NA
1989,2,18,2,5.6,1.7
1989,4,12,0,17.2,-1.1
1989,5,6,27.9,28.3,13.3
1989,5,18,0,28.3,11.1
1989,6,29,0,31.1,21.1
1989,8,1,1,35,22.2
1989,9,27,0,25.6,25.6
1989,11,3,0.8,18.9,8.3
1989,12,26,0,12.8,-1.7
1989,12,27,NA,NA,NA
1989,12,28,NA,NA,NA
1989,12,31,0,22.2,7.8
1990,2,5,5.1,26.7,7.2
1990,3,24,0,26.7,7.2
1990,4,24,0,28.3,7.2
1990,5,5,0,28.9,12.8
1990,5,6,NA,NA,NA
1990,5,7,NA,NA,NA
1990,5,27,0,34.4,17.8
1990,5,30,0,27.2,11.1
1990,7,27,0,32.2,19.4
1990,10,8,0,31.7,16.1
1990,10,30,0,20.6,1.1
1990,11,29,14.2,22.8,15.6
1991,4,24,0,23.9,8.9
1991,5,9,0,28.9,16.7
1991,5,10,NA,NA,NA
1991,6,1,0,33.3,18.3
1991,6,6,0,25.6,16.7
1991,6,16,0.3,33.3,21.1
1991,8,11,0,33.3,21.1
1991,8,18,0,32.2,21.1
1991,8,25,53.8,30.6,22.8
1991,10,6,0.3,25.6,21.1
1991,11,3,0,20,6.7
1991,12,1,5.8,27.2,17.2
1991,12,4,14.7,15.6,0.6
1991,12,8,0,23.3,2.8
1992,1,12,0,18.9,-2.2
1992,1,22,0,18.9,-1.7
1992,1,30,0,16.7,7.8
1992,2,17,15.2,24.4,4.4
1992,2,23,10.2,25.6,14.4
1992,3,8,0,26.7,7.8
1992,3,9,NA,NA,NA
1992,3,19,31.8,24.4,10
1992,6,7,0,34.4,17.8
1992,7,5,0,34.4,18.3
1992,7,14,0,35,23.3
1992,7,19,5.1,30,20.6
1992,8,20,7.6,30,21.1
1992,8,21,NA,NA,NA
1992,11,29,0,14.4,0
1992,12,27,2.8,11.7,3.3
1993,1,24,0.3,23.9,2.8
1993,3,30,0,28.9,6.7
1993,4,11,0,25.6,4.4
1993,5,9,0,28.9,12.8
1993,5,21,0,28.3,9.4
1993,5,22,0,NA,NA
1993,6,6,0,34.4,21.7
1993,9,8,95.8,28.9,20
1993,9,28,0,25,9.4
1993,10,1,0,24.4,4.4
1993,10,10,0,30.6,18.3
1993,11,3,0,22.2,3.9
1993,12,2,0,17.8,2.2
1994,1,7,0,22.8,0.6
1994,3,11,0,18.9,2.2
1994,4,8,0,23.3,3.3
1994,5,2,0,31.1,16.7
1994,6,3,0.8,32.8,20
1994,6,10,4.8,31.1,19.4
1994,6,20,5.8,33.9,18.3
1994,7,7,0,32.8,20
1994,7,8,0,NA,NA
1994,7,19,18.5,35,21.1
1994,7,25,0,34.4,21.1
1994,8,31,0,35.6,21.1
1994,9,22,0,27.8,14.4
1994,9,23,NA,NA,NA
1994,11,18,1.3,25,12.2
1994,11,21,6.1,25,17.2
1994,12,2,0,20,0.6
1994,12,9,1,19.4,10
1995,2,2,16,21.7,3.9
1995,7,20,0,35,21.1
1995,7,26,19.8,31.7,19.4
1995,7,28,NA,31.1,21.1
1995,8,25,29.2,27.8,25
1995,11,22,0,16.1,-3.3
1995,11,25,6.6,13.3,6.7
1996,1,22,0,13.9,-3.9
1996,2,18,0,16.7,-2.8
1996,3,2,0.3,17.2,3.9
1996,3,25,0,24.4,5.6
1996,6,14,0,30.6,16.7
1996,6,28,0,31.1,14.4
1996,7,12,0,28.9,20
1996,7,19,0,34.4,22.2
1996,8,23,0,31.7,16.1
1996,9,3,2.3,30,20.6
1996,9,8,22.1,33.9,18.9
1996,11,10,0,17.8,-3.9
1996,11,11,0,NA,NA
1996,12,20,0,5.6,-6.7
1996,12,23,0,21.1,-3.3
1997,3,9,0,13.3,5
1997,3,10,0,NA,7.2
1997,3,11,0,NA,12.2
1997,3,23,0,30.6,2.8
1997,4,29,0,23.9,12.8
1997,4,30,0,NA,NA
1997,5,1,NA,NA,NA
1997,6,24,0,33.3,18.3
1997,9,21,0,32.2,16.1
1997,10,21,0,12.2,2.2
1997,10,24,0.8,25.6,1.1
1997,10,25,NA,NA,NA
1997,11,26,0,20.6,-3.9
1997,11,27,0,NA,NA
1998,1,10,0,13.9,-4.4
1998,2,20,2.5,21.7,8.9
1998,3,28,0,27.8,9.4
1998,3,30,0,28.3,11.1
1998,5,9,0,30.6,12.8
1998,8,14,12.7,31.7,20
1998,8,15,NA,NA,NA
1998,10,17,0,26.7,7.8
1998,11,6,0,17.2,-0.6
1998,11,16,1,25,15.6
1999,1,27,0,24.4,3.3
1999,4,18,0,21.1,1.7
1999,5,30,0,29.4,12.2
1999,7,6,0,35,18.9
1999,8,20,91.4,36.7,18.3
1999,9,11,0,31.7,16.7
1999,9,14,0,29.4,13.3
1999,9,15,NA,NA,NA
1999,9,19,0,26.7,18.9
1999,9,20,15.2,NA,15.6
1999,9,21,0.8,NA,17.8
1999,10,30,0.3,26.1,9.4
1999,11,5,0,20.6,-1.7
1999,11,6,0,NA,NA
1999,11,12,10.9,20,10
1999,11,19,0,23.9,2.8
1999,12,10,0,23.9,4.4
2000,3,3,0,25,2.2
2000,9,1,0,27.8,18.9
2000,9,9,3.3,29.4,18.3
2000,9,17,18.5,32.8,11.1
2000,10,13,0,26.1,1.7
2000,11,11,0,20.6,3.3
2000,11,12,0,NA,-2.2
2000,12,3,1.5,10,1.7
2000,12,10,21.6,9.4,4.4
2000,12,11,0,NA,NA
2001,2,12,16.5,16.1,1.1
2001,2,18,0,24.4,-2.8
2001,2,23,0,17.8,3.3
2001,2,24,NA,NA,NA
2001,3,2,0.8,25.6,5.6
2001,5,13,0,31.7,13.9
2001,5,28,0,31.7,20
2001,6,15,0,33.9,17.2
2001,6,16,0,NA,NA
2001,9,16,0,28.3,7.8
2001,9,20,1.3,30,15.6
2001,9,26,0,22.2,7.8
2001,11,13,0,21.1,3.3
2001,11,19,0,26.1,5.6
2001,11,20,NA,NA,NA
2001,11,21,NA,NA,NA
2001,12,14,0,26.1,11.1
2002,1,20,2,23.3,3.9
2002,1,30,0,26.7,9.4
2002,5,11,22.9,36.7,15.6
2002,8,12,0,33.9,12.2
2002,8,16,0,34.4,18.3
2002,8,17,0,NA,NA
2002,8,18,0,NA,NA
2002,8,20,0,35,18.9
