year,month,day,tmaxlow,tmax,tmaxup,tminlow,tmin,tminup,dtrlow,dtr,dtrup
1918,7,14,24.86,30,41.51,14.27,13.9,27.47,3.26,16.1,21.37
1918,7,15,25.82,30,40.94,15.18,15,26.8,4.57,15,20.21
1919,3,15,6.37,16.7,37.99,-10.88,15.6,24.65,1.66,1.1,28.93
1919,6,24,24.35,23.3,42.25,12.66,21.1,27.38,3.85,2.2,22.7
1919,6,29,24.02,23.3,41.28,12.87,17.8,27.39,3.58,5.5,21.46
1919,7,2,25.03,28.9,41.08,13.91,13.3,26.76,3.67,15.6,21.77
1919,7,17,26.24,26.1,40.06,14.9,21.1,26.72,4.28,5,20.39
1919,7,22,25.84,27.2,40.96,14.32,22.8,27.26,4.53,4.4,20.69
1920,6,28,23.67,31.1,42,13.36,12.2,26.83,3.9,18.9,21.58
1920,6,29,24.02,32.2,41.28,12.87,12.8,27.39,3.58,19.4,21.46
1920,7,28,25.66,28.9,40.9,14.91,14.4,27.41,3.85,14.5,20.4
1920,7,29,26.19,30,40.7,14.99,13.9,27.24,4.15,16.1,20.51
1920,7,30,26.22,31.1,40.69,15.05,13.9,26.96,4.41,17.2,20.49
1920,8,4,25.32,24.4,40.54,15.15,16.7,26.33,3.98,7.7,20.4
1921,6,7,22.51,28.9,40.72,11.21,10.6,25.6,2.22,18.3,24.2
1921,8,24,25.13,25,39.77,12.66,17.2,27.48,3.81,7.8,20.94
1922,4,29,15.51,12.2,38.48,-1.05,6.7,25.16,2.5,5.5,27.37
1922,7,20,25.97,26.1,41.28,15.4,21.7,26.57,4.75,4.4,20.51
1922,8,17,26.85,26.7,39.41,14.57,20.6,26.83,4.88,6.1,19.99
1924,9,7,23.45,29.4,39.57,11.3,11.1,26.95,2.98,18.3,21.79
1924,9,25,18.92,17.8,39.41,4.88,15.6,27.33,1.5,2.2,24.61
1925,9,4,23.34,41.7,40.39,13.03,20,26.06,2.88,21.7,21.76
1925,9,9,23.17,40,39.58,10.23,22.2,27.19,2.93,17.8,22.41
1925,9,21,20.42,40,39.7,7.98,21.1,27.31,2.21,18.9,22.61
1925,11,1,10.31,10,37.12,-7.05,5.6,25.51,0.09,4.4,28.87
1926,7,16,25.77,30,40.95,15.02,15,26.61,3.55,15,21.54
1926,10,26,12.48,12.2,35.39,-6.19,0.6,25.64,0.24,11.6,28.18
1927,6,29,24.02,30.6,41.28,12.87,12.8,27.39,3.58,17.8,21.46
1927,8,26,24,23.3,40.17,11.28,16.7,28.22,2.61,6.6,22.06
1927,8,27,23.64,21.7,40.72,11.99,17.8,27.23,3.59,3.9,21.56
1927,8,29,21.7,28.9,41.82,13.14,12.8,26.72,1.58,16.1,22.08
1928,11,21,4.02,1.7,35.18,-11.25,-2.2,21.57,0.1,3.9,28.78
1929,6,10,22.54,20.6,41.55,9.65,16.7,26.97,3.15,3.9,24.32
