title,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,ann
tmin,1929,-17,-1,-10,-20,-17,-8,0,0,0,0,0,0,-73
prcp,1930,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1930,-1,0,0,-3,0,0,0,0,0,0,0,0,-4
tmin,1930,-17,-6,-12,-25,-15,-15,-2,0,0,0,0,0,-92
prcp,1931,-31,-31,-30,-31,-28,-31,-30,-31,-30,-30,-30,-29,-362
tmax,1931,-2,0,0,0,0,0,0,0,0,0,0,0,-2
tmin,1931,-25,-1,-10,-6,-19,-17,-2,0,0,0,0,0,-80
prcp,1932,-31,-31,-30,-31,-27,-31,-30,-31,-30,-31,-31,-30,-364
tmax,1932,0,0,0,-1,0,-1,0,0,0,0,0,0,-2
tmin,1932,-9,0,-13,-13,-6,-16,-2,0,0,0,0,0,-59
prcp,1933,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1933,0,0,0,0,-1,0,0,0,0,0,0,0,-1
tmin,1933,-14,0,-14,-12,-9,-9,0,0,0,0,0,0,-58
prcp,1934,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1934,-1,0,0,0,-3,0,0,0,0,0,0,0,-4
tmin,1934,-13,-2,-11,-18,-24,-12,-2,0,0,0,0,0,-82
prcp,1935,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1935,-1,0,0,-3,0,0,0,0,0,0,0,0,-4
tmin,1935,-17,-5,-11,-24,-19,-6,-4,0,0,0,0,0,-86
prcp,1936,-31,-31,-30,-31,-29,-31,-30,-31,-30,-31,-31,-28,-364
tmax,1936,-3,0,0,-2,-1,0,0,0,0,0,0,0,-6
tmin,1936,-21,-1,-13,-18,-18,-10,-4,0,0,0,0,0,-85
prcp,1937,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1937,0,0,-1,-1,0,0,0,0,0,0,0,0,-2
tmin,1937,-5,-9,-14,-23,-18,-14,-6,0,0,0,0,0,-89
prcp,1938,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1938,-2,0,0,0,0,0,0,0,0,0,0,0,-2
tmin,1938,-19,-3,-6,-26,-10,-7,-6,0,0,0,0,0,-77
prcp,1939,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1939,0,0,0,0,-1,0,0,0,0,0,0,0,-1
tmin,1939,-18,-1,-16,-25,-8,-9,-4,-1,0,0,0,0,-82
prcp,1940,-31,-31,-30,-31,-29,-31,-30,-31,-30,-31,-31,-30,-366
tmax,1940,-6,0,0,0,0,0,0,0,0,0,0,0,-6
tmin,1940,-23,0,-8,-15,-20,-13,-3,-1,0,0,0,0,-83
prcp,1941,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1941,0,0,0,0,0,0,0,0,0,0,0,0,0
tmin,1941,-22,0,-13,-18,-25,-19,0,0,0,0,0,0,-97
prcp,1942,-31,-31,-30,-31,-28,-31,-28,-31,-30,-31,-31,-30,-363
tmax,1942,0,0,0,-1,0,0,0,0,0,0,0,0,-1
tmin,1942,-22,-2,-12,-20,-23,-14,-5,0,0,0,0,0,-98
prcp,1943,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1943,0,0,0,-4,-1,0,0,0,0,0,0,0,-5
tmin,1943,-19,-5,-18,-20,-15,-12,-5,0,0,0,0,0,-94
prcp,1944,-31,-31,-30,-31,-29,-31,-30,-31,-30,-31,-31,-30,-366
tmax,1944,-2,0,0,-1,0,0,0,0,0,0,0,0,-3
tmin,1944,-24,-3,-15,-22,-11,-8,-4,0,0,0,0,0,-87
prcp,1945,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1945,0,0,0,-3,0,0,0,0,0,0,0,0,-3
tmin,1945,-23,-3,-10,-26,-14,-5,-2,0,0,0,0,0,-83
prcp,1946,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1946,0,0,0,0,0,0,0,0,0,0,0,0,0
tmin,1946,-17,-1,-6,-19,-18,-5,-3,0,0,0,0,0,-69
prcp,1947,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1947,0,0,0,0,-2,0,0,0,0,0,0,0,-2
tmin,1947,-10,0,-8,-20,-25,-21,0,0,0,0,0,0,-84
prcp,1948,-31,-31,-30,-31,-29,-31,-30,-31,-30,-31,-31,-30,-366
tmax,1948,-1,0,0,-1,-2,0,0,0,0,0,0,0,-4
tmin,1948,-26,-5,-7,-15,-15,-5,0,0,0,0,0,0,-73
prcp,1949,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1949,0,0,0,0,0,0,0,0,0,0,0,0,0
tmin,1949,-10,0,-15,-16,-6,-16,-2,0,0,0,0,0,-65
prcp,1950,-31,-31,-30,-29,-28,-31,-30,-31,-30,-31,-31,-30,-363
tmax,1950,0,0,0,-3,0,0,0,0,0,0,0,0,-3
