year,month,day,tmaxlow,tmax,tmaxup,tminlow,tmin,tminup,dtrlow,dtr,dtrup
1980,8,26,23.88,31.1,40.33,13.72,13.3,27.18,2.31,17.8,21.02
1981,4,22,13.81,16.7,38.49,-1.14,12.8,24.03,4.02,3.9,25.38
1981,7,3,23.79,23.3,41.57,15.18,18.3,26.37,3.86,5,19.94
1981,8,1,23.86,22.2,41.75,15.59,17.8,26.87,2.71,4.4,20.44
1981,8,19,24.71,24.4,40.67,14.84,18.3,26.86,3.73,6.1,19.96
1981,8,20,23.37,21.1,41.83,14.26,17.2,27.21,2.81,3.9,20.92
1981,9,19,19.77,24.4,39.82,8.27,7.2,26.9,2.34,17.2,22.08
1982,10,24,13.67,11.7,34.74,-5.07,3.3,23.35,2.29,8.4,27.85
1982,10,25,10.02,10,36.52,-5.55,3.3,23.97,-0.76,6.7,28.88
1983,3,25,7.3,6.7,35.75,-5.25,-1.7,20.32,-0.26,8.4,28.24
1983,4,20,12.64,12.2,39.11,-1,-2.8,24.48,2.88,15,25.39
1983,7,9,24.98,29.4,41.35,14.52,12.2,27.74,5.07,17.2,19
1983,7,10,23.46,33.3,42.93,15.1,15,27.31,2.96,18.3,21.02
1983,8,15,22.87,28.9,41.84,12.7,12.2,28.74,2.69,16.7,20.57
1983,8,16,22.41,30.6,42.48,14.05,13.3,27.61,2.08,17.3,21.16
1984,5,31,20.47,21.7,40.19,8.8,7.8,25.97,3.93,13.9,21.95
1984,7,20,24.51,24.4,42.32,16.53,17.8,26.54,3.56,6.6,20.18
1984,9,20,18.29,24.4,40.52,7.39,7.2,27.47,1.01,17.2,22.93
1985,1,21,-6.57,-2.8,32.64,-16.16,-16.7,17.09,-3.01,13.9,28.16
1985,8,4,23.82,28.9,41.52,15.86,15.6,26.68,3.68,13.3,19.11
1985,9,14,18.86,22.8,40.78,7.51,7.2,27.74,1.2,15.6,23.2
1985,9,16,19.39,26.7,40.99,8.34,7.2,27.46,1.02,19.5,23.54
1986,8,29,23.03,20.6,41.37,14.39,16.1,26.67,2.91,4.5,20.56
1986,8,30,21.57,20.6,41.49,12.91,13.3,27.34,2.6,7.3,20.13
1986,8,31,22.41,19.4,40.94,13.29,13.3,26.34,3.26,6.1,20.45
1987,7,19,24.89,32.8,41.51,16.21,15.6,26.69,3.56,17.2,19.94
1987,7,20,24.51,33.3,42.32,16.53,16.1,26.54,3.56,17.2,20.18
1988,6,5,20.23,27.2,40.62,9.48,8.3,27.16,3.36,18.9,20.85
1988,6,10,21.15,21.1,41.67,10.23,13.3,27.61,1.25,7.8,23.79
1988,6,12,20.8,28.3,42.09,9.54,9.4,27.86,1.72,18.9,23.76
1988,7,2,25.11,30,40.57,14.78,14.4,26.4,3.7,15.6,20.78
1988,7,7,24.39,32.8,40.84,14.5,12.8,27.27,3.61,20,19.85
1988,8,28,22.89,24.4,41.36,14.26,22.8,26.86,1.99,1.6,21.13
1988,9,8,20.14,18.3,41,11.28,15.6,26.34,1.02,2.7,22.49
1989,8,9,24.12,21.7,41.41,15.36,18.3,26.7,2.83,3.4,20.65
1989,8,11,25.05,24.4,41.12,15.76,17.2,26.15,4.08,7.2,20.18
1989,12,23,-3.24,-6.1,33.17,-17.23,-9.4,21.21,-3.4,3.3,29.35
1991,11,9,4.67,3.9,35.73,-9.61,2.8,22.33,-2.05,1.1,29.72
1991,11,10,6.91,6.7,35.43,-10.14,3.3,22.54,-1.67,3.4,31.61
1991,12,1,0.77,26.7,32.16,-13.9,20,18.25,-0.87,6.7,29.5
1991,12,2,1.44,26.1,31.65,-14.15,20,18.59,-0.34,6.1,28.95
1992,5,7,14.84,10.6,40.32,2.59,7.8,23.93,1.9,2.8,26.74
1992,5,8,14.62,11.7,42.05,2.65,8.3,25.11,3.65,3.4,25.13
1992,6,12,20.8,20,42.09,9.54,16.1,27.86,1.72,3.9,23.76
1992,8,15,22.87,21.7,41.84,12.7,20,28.74,2.69,1.7,20.57
1993,7,12,24.88,37.2,41.03,15.03,15.6,26.94,3.43,21.6,20.51
1994,7,15,24.53,33.3,41.68,16.75,26.7,26.01,2.78,6.6,20.67
1994,9,3,22.75,20,40.27,12.73,16.7,26.36,1.97,3.3,21.96
1996,8,19,24.71,33.9,40.67,14.84,14.4,26.86,3.73,19.5,19.96
1997,6,4,20.27,20,40.55,11.08,14.4,25.73,3.11,5.6,20.9
1997,6,6,20.26,20,40.75,9.48,12.8,26.59,2.52,7.2,22.26
1997,6,7,20.74,19.4,41.07,10.24,13.9,26.49,2.27,5.5,22.93
1997,7,31,22.75,21.7,43.01,15.4,17.2,27.4,1.43,4.5,21.52
1997,9,5,20.69,28.9,40.8,11.83,10,26.92,0.58,18.9,22.16
1997,9,6,20.19,31.1,41.09,12.1,10.6,26.62,0.31,20.5,22.24
1998,1,7,-4.79,23.9,32.53,-15.33,19.4,17.32,-1.46,4.5,27.22
1999,4,29,14.2,13.9,38.79,-2.09,8.9,26.37,0.78,5,27.93
1999,4,30,14.72,13.3,38.35,0.39,7.8,25.06,0.91,5.5,26.71
1999,9,1,22.52,32.8,40.79,13.44,12.2,26.4,1.81,20.6,21.66
2000,7,25,25.27,25,40.29,17.11,20.6,25.98,3.23,4.4,19.24
2000,9,6,20.19,19.4,41.09,12.1,16.7,26.62,0.31,2.7,22.24
2001,7,16,25.47,32.2,40.98,16.28,16.1,26.25,4.3,16.1,19.62
2001,9,17,19.19,31.1,39.99,7.65,8.9,28.09,1.45,22.2,21.98
2002,5,20,17.73,22.8,40.8,5.63,5,25.88,2.08,17.8,24.93
2002,5,21,19.31,23.9,39.91,5.32,5,27.17,2.89,18.9,23.84
2002,8,8,23.37,33.3,41.98,14.05,13.9,27.78,2.19,19.4,21.34
2002,8,9,24.12,33.9,41.41,15.36,15,26.7,2.83,18.9,20.65
2002,8,11,25.05,36.1,41.12,15.76,15.6,26.15,4.08,20.5,20.18
2003,7,30,24.78,32.2,41.62,15.71,27.8,27.07,3.43,4.4,20.18
2004,2,14,0.7,7.8,30.32,-12.26,7.2,15.66,0.9,0.6,26.71
2004,8,6,23.46,31.1,42.25,14.79,13.9,27.83,2.14,17.2,20.94
2004,8,7,22.7,29.4,42.42,15.5,13.9,26.54,1.95,15.5,21.13
2004,8,8,23.37,31.1,41.98,14.05,13.9,27.78,2.19,17.2,21.34
2005,7,19,24.89,33.9,41.51,16.21,26.7,26.69,3.56,7.2,19.94
