year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1997,1,0,0,2.68,5.71,7,0,11,4,0,3,2,36.39
1998,2,0,4,0,0,2,0,3.88,3,0,0,0,14.88
1999,3,4.73,0,4,NA,4,0,1,5,3,2,4,NA
2000,2,1.84,0,5,0,2.88,6,NA,5,7,3,11.74,NA
2001,7,0,0.96,7.86,2,0,6,NA,6,9.86,0,2,NA
2002,3.03,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,5,0,NA,1,NA,NA,NA,0,NA,NA,2.95,2.91,NA
2004,3,NA,3.99,6,NA,NA,NA,NA,3.84,NA,0,5.83,NA
2005,NA,1,3.95,5.71,NA,NA,NA,NA,1,NA,1,4.03,NA
2006,NA,2.69,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA
2007,2,2.99,NA,5.95,NA,NA,NA,0,NA,NA,5.86,1.95,NA
2008,2,2.73,3.9,6,NA,0,NA,2,2,7,4,1.92,NA
2009,4,6,3,2,NA,0,5,3,3,4,0,0,NA
2010,10,5,3.92,5,0,0,NA,NA,2.74,7.51,5.99,13.58,NA
2011,7,0,1,1,NA,0,NA,NA,6.82,NA,1,1,NA
2012,2,3,0,0,0,NA,NA,NA,2,0,NA,0,NA
2013,0,NA,5,NA,NA,NA,NA,NA,0,3.68,5,0,NA
2014,7.9,NA,NA,2,NA,NA,NA,4,NA,NA,NA,1,NA
2015,2,NA,2.99,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
2016,NA,1.88,1.74,0.73,6,3.97,1,1.97,5,NA,2,0.88,NA
2017,1,0,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA
2018,10,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
2019,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3.99,0,NA
2020,0,2,1.77,1,NA,1,0,0,4.96,0,2,5,NA
2021,0,0,1.64,7,7.94,3,1,0,4.96,0,2,0,27.53
2022,1,0,3,4,1.97,2,0,2,1.78,8.68,2,6,32.43
2023,0,0,4.71,0,10,0,0,0,2,4,4,0.84,25.56
2024,5,0,1,2,0,0,0,0,0.91,5,0,5,18.91
2025,10,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA
