year,r20mm
1899,NA
1900,NA
1901,17
1902,20
1903,NA
1904,18
1905,22
1906,28
1907,18
1908,21
1909,13
1910,29
1911,19
1912,25
1913,NA
1914,20
1915,22
1916,15
1917,14
1918,NA
1919,23
1920,23
1921,18
1922,27
1923,19
1924,21
1925,19
1926,20
1927,15
1928,25
1929,30
1930,26
1931,8
1932,22
1933,17
1934,13
1935,20
1936,21
1937,22
1938,12
1939,24
1940,11
1941,23
1942,15
1943,24
1944,20
1945,22
1946,19
1947,27
1948,34
1949,11
1950,NA
1951,15
1952,19
1953,20
1954,12
1955,12
1956,12
1957,20
1958,18
1959,23
1960,23
1961,23
1962,NA
1963,NA
1964,29
1965,NA
1966,22
1967,NA
1968,15
1969,21
1970,19
1971,26
1972,22
1973,NA
1974,NA
1975,NA
1976,NA
1977,NA
1978,16
1979,NA
1980,NA
1981,13
1982,24
1983,24
1984,19
1985,21
1986,25
1987,27
1988,NA
1989,NA
1990,NA
1991,NA
1992,20
1993,22
1994,NA
1995,NA
1996,15
1997,22
1998,23
1999,21
2000,NA
2001,NA
2002,22
2003,24
2004,NA
2005,NA
2006,NA
2007,NA
2008,25
2009,24
2010,15
2011,NA
2012,23
2013,NA
2014,22
2015,31
2016,23
2017,22
2018,23
2019,25
2020,NA
2021,22
2022,19
2023,25
2024,26
2025,NA
