year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1978,21.7,22.2,27.8,33.3,33.9,39.4,37.8,36.1,35.6,30,26.7,27.2,39.4
1979,22.8,24.4,27.8,29.4,31.7,36.1,36.7,37.8,34.4,29.4,28.9,24.4,37.8
1980,19.4,26.7,25.6,35,35,38.9,40,38.9,37.8,30,26.7,24.4,40
1981,20.6,25,25.6,34.4,35.6,39.4,37.8,36.1,33.3,32.2,26.1,23.3,39.4
1982,23.3,27.8,31.7,30.6,35.6,36.7,37.2,36.1,34.4,29.4,26.7,26.7,37.2
1983,18.3,23.3,25.6,30.6,32.2,37.8,38.9,40.6,35,30.6,25.6,24.4,40.6
1984,20.6,25,29.4,32.2,33.3,37.8,36.7,35.6,34.4,30.6,26.7,26.7,37.8
1985,27.8,27.2,30,33.3,34.4,37.2,36.1,33.3,34.4,30.6,27.2,24.4,37.2
1986,22.8,26.1,28.9,33.3,33.9,35.6,39.4,37.8,36.1,35.6,28.9,25.6,39.4
1987,23.3,23.9,27.2,33.3,32.2,35.6,39.4,38.3,32.8,27.8,28.9,24.4,39.4
1988,21.7,24.4,27.8,32.2,33.3,36.7,38.3,36.7,32.8,28.9,26.7,23.9,38.3
1989,23.9,29.4,29.4,33.3,35,35,35,35,32.8,31.1,29.4,21.7,35
1990,25,28.3,30.6,31.7,34.4,37.8,37.8,36.7,34.4,31.7,27.2,25,37.8
1991,22.8,27.8,28.9,30.6,33.3,33.9,35.6,35,35,28.9,26.7,26.7,35.6
1992,21.1,24.4,28.3,30,32.2,32.8,36.7,35.6,35,30,27.2,22.8,36.7
1993,25,22.2,29.4,31.7,34.4,38.3,38.3,36.1,35.6,31.1,30.6,23.9,38.3
1994,22.8,26.1,31.1,32.8,33.9,35.6,35.6,35.6,35.6,28.9,28.3,25,35.6
1995,23.9,26.7,31.7,33.3,36.1,36.7,38.3,38.3,34.4,32.2,28.3,25.6,38.3
1996,23.3,29.4,28.9,30.6,37.2,37.8,38.9,36.1,36.1,31.1,28.3,27.2,38.9
1997,25,28.9,30,28.9,32.8,35,36.7,37.8,36.1,33.3,23.3,21.7,37.8
1998,24.4,25.6,30,29.4,36.1,40,38.9,38.3,35.6,32.2,30,29.4,40
1999,26.7,27.2,28.9,33.3,32.2,35.6,40.6,41.1,36.7,31.7,28.3,22.8,41.1
2000,25.6,26.7,29.4,30.6,37.8,38.3,38.9,37.2,35.6,32.2,29.4,22.2,38.9
2001,25.6,27.2,27.2,33.3,35.6,35.6,36.7,37.8,35,32.8,30,28.3,37.8
2002,28.9,30,31.1,36.1,36.1,39.4,40,39.4,38.3,34.4,25.6,23.3,40
2003,23.3,26.7,30.6,31.1,34.4,35.6,35.6,36.1,36.1,29.4,31.7,23.3,36.1
2004,24.4,22.8,31.1,33.9,36.1,37.2,37.8,37.8,33.9,33.3,31.1,27.2,37.8
2005,25,26.1,29.4,31.7,33.9,37.2,38.3,39.4,37.8,32.8,31.1,23.9,39.4
2006,25.6,24.4,30.6,33.9,37.2,37.8,38.9,38.9,33.9,33.3,28.3,26.7,38.9
2007,26.1,NA,NA,NA,35,NA,NA,42.2,36.1,NA,NA,32.2,NA
2008,NA,27.2,NA,NA,33.9,38.3,38.3,38.9,NA,32.8,26.1,28.3,NA
2009,25.6,27.2,28.9,32.2,32.8,35,35,35,33.3,30,25.6,23.3,35
2010,21.7,20,27.2,31.1,32.2,37.2,37.2,35,34.4,30,25,20,37.2
2011,22.2,26.7,30,32.2,35,37.2,37.8,37.8,34.4,30,27.2,25,37.8
2012,24.4,27.2,30.6,32.8,33.3,38.3,36.1,34.4,33.9,30.6,28.9,24.4,38.3
2013,26.7,22.8,26.1,29.4,31.1,34.4,33.3,35,33.9,31.7,28.9,25.6,35
2014,20,26.7,26.7,30,NA,34.4,34.4,36.7,35,31.7,26.7,23.9,NA
2015,22.8,21.1,29.4,31.7,32.2,36.7,36.7,36.1,32.2,30.6,29.4,27.8,36.7
2016,18.3,25,30,32.8,35,36.1,37.2,36.1,35.6,33.3,30,26.1,37.2
2017,26.7,28.3,32.2,32.2,33.9,35,36.1,36.7,37.2,34.4,30,25,37.2
2018,23.9,29.4,28.3,32.2,36.7,38.3,38.3,37.2,36.7,35.6,27.8,21.7,38.3
2019,23.9,28.3,27.8,31.7,38.9,36.7,37.2,37.2,36.1,35.6,26.7,25,38.9
2020,23.9,24.4,29.4,30,31.7,33.3,35,33.9,35,30.6,26.7,21.7,35
2021,23.9,26.1,29.4,28.9,33.9,33.3,33.3,33.9,31.1,30.6,25.6,25.6,33.9
2022,25.6,28.3,27.2,27.8,32.8,35,33.3,33.9,33.9,28.3,28.3,24.4,35
2023,22.8,27.2,27.2,28.9,31.1,34.4,35.6,35.6,33.9,28.9,28.3,24.4,35.6
2024,25,23.9,27.2,32.2,33.3,36.7,35.6,35,32.8,30.6,28.9,22.8,36.7
2025,25,27.8,26.7,29.4,32.8,35.6,36.1,NA,NA,NA,NA,NA,NA
