year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
1905,0,0,0,2,10,2,2,2,4,2,0,0,24
1906,2,0,0,6,4,0,0,0,1,0,3,0,16
1907,5,0,8,0,0,2,6,3,1,0,2,0,27
1908,0,NA,3,3,2,0,0,1,0,0,2,0,NA
1909,2,2,2,0,2,2,1,0,0,0,0,0,11
1910,1,NA,0,5,1,0,1,0,2,0,0,0,NA
1911,0,2,2,4,1,12,0,0,2,5,0,0,28
1912,0,0,0,0,1,0,0,0,5,0,0,0,6
1913,3,0,0,0,1,3,3,0,0,1,0,0,11
1914,0,0,1,2,0,11,3,1,0,0,0,1,19
1915,0,0,0,0,8,1,2,0,4,0,2,0,17
1916,13,4,3,7,13,4,0,9,4,8,5,2,72
1917,4,5,7,11,6,9,5,3,5,4,0,0,59
1918,1,10,8,3,4,8,3,12,3,4,2,1,59
1919,2,0,0,5,6,0,1,2,8,26,5,4,59
1920,6,0,1,1,0,5,1,0,12,13,2,1,42
1921,0,8,17,5,4,6,0,5,25,1,6,3,80
1922,6,7,0,13,4,2,0,0,3,4,3,4,46
1923,4,2,3,4,2,0,3,11,4,3,0,8,44
1924,2,1,1,0,0,3,1,6,1,0,1,5,21
1925,2,2,5,8,4,6,8,10,20,12,0,0,77
1926,1,0,0,3,6,4,0,0,2,5,0,9,30
1927,8,11,4,6,1,6,3,1,8,8,9,4,69
1928,4,0,2,0,0,0,0,0,1,1,3,2,13
1929,6,1,7,4,0,0,0,0,0,0,7,3,28
1930,4,4,0,0,0,0,1,0,0,0,0,0,9
1931,0,0,0,0,0,7,5,0,6,2,13,13,46
1932,10,8,3,4,1,0,2,0,0,0,0,2,30
1933,2,0,0,0,1,NA,NA,0,3,0,1,11,NA
1934,4,0,2,5,0,0,5,7,4,7,12,1,47
1935,3,1,9,4,6,7,0,5,0,8,5,0,48
1936,2,0,2,2,5,7,11,7,6,6,3,3,54
1937,19,3,0,3,3,2,0,0,2,1,0,0,33
1938,3,8,8,2,12,1,0,10,2,3,5,1,55
1939,7,9,3,1,2,0,2,1,12,14,1,0,52
1940,0,0,0,2,5,3,4,3,4,5,3,2,31
1941,0,0,0,7,12,7,2,7,10,14,4,1,64
1942,0,0,1,6,0,0,6,0,3,4,8,3,31
1943,5,2,2,3,0,5,0,5,0,3,2,4,31
1944,2,4,0,1,0,8,0,0,5,1,0,0,21
1945,0,4,10,4,3,2,2,0,4,3,3,0,35
1946,7,3,2,3,0,0,0,1,0,2,5,2,25
1947,4,0,0,4,0,2,0,0,1,0,0,0,11
1948,0,3,2.01,0,1,0,0,2,1,0,6,4.94,19.95
