year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1991,3,5,6.44,8,14.51,2.65,3,3,2.64,4,1,4,57.23
1992,4,4.77,2.71,2,0,1,4,0,4.68,0.91,10.99,2,37.05
1993,4.87,0,1.99,1,3.99,5.75,9,0,6.34,3,3,0.9,39.83
1994,2.7,4.99,4,2.96,0,4.99,3,1,0,5,1.78,4,34.42
1995,2.95,1,1,6,6.68,3,2,12,4,7.99,3,1,50.61
1996,3,4,2,4,9.84,4.87,4.58,0,5.87,3,0,4.55,45.71
1997,5,5.62,6.61,1,1,0,6,2,2.64,2.99,2,0,34.86
1998,4.87,2,2,2.88,8.66,9,14.99,7,5,4.96,5.94,4.95,72.25
1999,8.64,4.99,0,10.1,0,3.86,7,12,3,3,4,1,57.58
2000,1,0,2,1,3.66,4,3,6,5,0,3,0,28.66
2001,4.95,4,1,7.99,1.91,2.61,7,3,5,1.99,7,4,50.44
2002,5,1,5,8.75,8,1,4,4,8,10.84,1.97,0,57.57
2003,1,1,3,0,5,4,6.99,16.97,0,2,5,0,44.96
2004,1,0,3,3,4.96,7.65,3.96,3,5,8,8.64,4,52.21
2005,6.7,2,0,1,0,4,3.99,3,1,1,1,1,24.69
2006,3.96,1,4,2,0,2,0,1.87,2,0,1,2.9,20.73
2007,7,NA,NA,NA,0,NA,NA,8,1,NA,NA,2,NA
2008,NA,0,NA,NA,0,0,0,0,NA,0,0.99,7,NA
2009,3,0,3,0,3.99,2,0,1,2,1,1,0,16.99
2010,0.74,0,0,0,3.95,8,1,12,1.83,3,3,0.99,34.51
2011,0,0.99,1,7.44,0,1,3,1,0,0,2,2.53,18.96
2012,1,3.86,8,1,1,0,1,0,0,1,0,2,18.86
2013,6,1,0,0,0,0.99,0,0,0,2,1,4.99,15.97
2014,1,2,0,1.9,NA,0,1,0,0,2,1.87,0.58,NA
2015,1,0,2,5.88,0,0,2,0,0,1,5.91,13,30.79
2016,0,1,9,8,7,19.96,11,7,5,0,1,4,72.96
2017,13.35,6.94,4,9.69,4.95,5,3,6,1,8,0,4,65.92
2018,4,14.88,3,1,11.9,4.95,3,0,11.79,9,3.84,5.99,73.35
2019,6,4,5,6.1,2.74,0,0,0,1.86,1,0,3.66,30.36
2020,7.9,5,9.99,1.1,2.9,0,0,2,4,8,7.99,1,49.87
2021,4,2,4.86,0,0,1,0,0,0,1.71,0,7.99,21.56
2022,2,5,4,0.97,0,0,0,0,0,0,6,2,19.97
2023,3,5.96,6,3.56,0,0,5,2,0,1,0.66,5.99,33.17
2024,4,3,3,5.66,6,6,5,0,3,0,8.99,2,46.65
2025,0,4,2,7,7,2,1,NA,NA,NA,NA,NA,NA
