year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1989,0,4.69,3.04,3,3,1,0.97,5,2,1,3,8.84,35.55
1990,0,0,1,1,0,0,1,0,0,1,1,1,6
1991,0.03,1,0.88,2,2,2,2.96,2.95,1,1,4.03,1,20.84
1992,0,0,0,4,4,3,0,6,2,4,1,2,26
1993,0,2,4,1,1.87,0,0,0,0,3,4,3,18.87
1994,3,2,0,0,4,1,1,2,3.92,6.68,0.99,0,24.58
1995,1.71,1,0,0,0,5,0,5,2,1,2,2.31,20.03
1996,1,3,5,2,4,0,2.03,0,1,4,3,0.69,25.71
1997,1.86,1,0,1,2,6.94,1,2,1,6,6,4.91,33.7
1998,0.99,0,4,0.96,0,0,0,0,0,0.87,0.01,3,9.83
1999,1,3,1,2,1,3.71,3.91,0,1,2,0,1,19.62
2000,6,0,0,2,0,1,NA,NA,NA,NA,NA,NA,NA
2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,NA,NA,NA,NA,NA,NA,4,3,4.87,3.69,4,NA
2003,6.42,4,3.97,5.88,5.96,2.99,NA,10.03,8.71,4.92,2,5,NA
2004,4.86,4.87,3,2,1,0.88,2,5.87,4.95,1,1.03,6.99,38.44
2005,6,2.97,3,5,7,5.99,4,3.71,0,2.99,1.87,1,43.53
2006,0,2,6,2,7,5,8.96,5,4.96,6,4,2,52.92
2007,2,3,1.61,4.96,1.86,4,6,1,2,0,2.88,0,29.31
2008,7,2,3.95,6.9,2.99,0,0,5,4.99,4.97,5.99,2,45.78
2009,3.99,4,3,2,6,2,1.03,0.84,2,9,5.64,5,44.49
2010,8.74,8.71,3,1,0,0,2.92,0,0.88,0,4,9.9,39.16
2011,5.71,1,4,1,4.99,0,2,0,4,6.99,3,0,32.69
2012,1,0.95,0,6,2,6.95,1.94,9.99,1,3.65,3,0,36.47
2013,1,4,9.77,7,7.96,2.97,10,8.52,0,3,4,1,59.22
2014,7,3,7.96,3,3,0,4.82,2.73,8,1,8,0,48.51
2015,3,6,5,2,1,1,1,0.97,3.68,6,2,0,31.65
2016,3,3,0,3,3,1,0,0,1,0,1,2,17
2017,2,0,4,1,6,4.65,2.65,4.66,3,0.86,3,5,36.82
2018,8.05,0,4.95,4.96,0,1,4.91,0,1,3,9,3.9,40.77
2019,0.94,1,0.92,4,1.99,4,0,2,0,0,7,0.91,22.75
2020,NA,2,0,4,6,4,1,3,6,0,1,4,NA
2021,0,3,2.87,4,3.86,3,5.96,NA,NA,0,3.97,2,NA
2022,2,1,0,2,1,2,2,4.64,3,5,4,4,30.64
2023,0,0,2.73,2.64,8.52,5.97,2.69,2,3.88,3,3,0,34.43
2024,2,0,1,1,2,1,1,4.99,2.92,2,0,2,19.91
2025,5,3,1,0,5,1,0,11,1,8,NA,NA,NA
