year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1984,-0.05,2.7,6.06,10.04,14.37,18.68,20.22,20.25,14.94,13.48,3.04,5.69,10.79
1985,-0.89,3.85,7.15,10.06,14.91,19.16,20.44,20.24,16.29,15.8,12.83,1.08,11.78
1986,-0.28,5.64,6.25,9.22,14.91,20.71,22.44,20.62,18.8,12.79,11.21,3.31,12.16
1987,2.13,2.62,6.62,8.68,16.2,19.91,20.85,22.24,18.52,6.15,6.66,3.9,11.25
1988,-0.09,1.37,6.08,9.5,13.09,16.53,21.11,21.71,19.07,8.45,6.91,0.53,10.38
1989,4.31,4.3,8.03,10.79,13.65,20.06,21.12,20.92,18.94,11.84,6.62,-0.87,11.66
1990,4.21,7.1,8.96,9.67,14.96,19.03,21.56,21.3,17.21,13.26,6.23,5.65,12.47
1991,3.9,4.55,8.62,13.86,18.53,19.75,22.56,21.77,17.69,11.65,4.58,4.5,12.72
1992,3.31,5.33,6.33,9.97,13.39,18.92,22.06,20.9,18.62,9.49,8.2,3.02,11.61
1993,4.69,2.88,5.88,8.15,15.72,20.23,22.71,20.94,18.85,11.86,7.19,0.98,11.74
1994,0.09,4.36,8.06,11.72,13.68,21.02,22.17,20.4,17.15,14.14,8.29,5.58,12.28
1995,2.74,2.64,8.18,11.7,16.58,19.3,21.92,22.83,18.87,13.95,4.12,0.72,12.02
1996,0.91,3.45,4.76,10.2,17.06,19.42,22.05,20.55,18.06,10.83,3.82,3.3,11.25
1997,2.6,5.38,10.3,8.66,13.33,18.89,21.75,19.93,18.33,11.88,5.16,2.55,11.61
1998,4.19,5.28,6.1,11.32,17.6,20.97,22.79,21.36,19.05,12.1,8.6,5.88,12.98
1999,3.56,3.75,4.44,13.58,13.89,19.25,22.45,22.48,16.55,11.92,6.2,1.3,11.65
2000,0.52,2.59,7.65,8.36,15.8,19.87,21.37,21.37,17.54,8.75,4.04,-2.29,10.48
2001,0.12,4.82,4.99,10.29,14.59,20.52,21.64,20.96,16.86,8.47,8.02,4.47,11.34
2002,2.92,0.64,6.57,13.06,14.05,19.22,21.92,20.86,20.39,15.42,4.95,1.32,11.84
2003,-0.62,2.68,9.24,10.82,16.88,19.91,22.49,23.18,17.12,11.48,7.64,-1.19,11.69
2004,0.13,1.78,6.95,10.08,17.23,21.64,22.12,20.66,19,14.88,7.68,0.91,11.95
2005,2.82,2.34,4.54,7.95,11.76,19.64,21.45,21.42,18.55,11.39,4.86,-0.56,10.56
2006,2.4,1.14,5.13,10.35,13.68,18.13,19.93,21.13,16.61,9.66,4.7,2.72,10.54
2007,2.48,NA,NA,NA,12.88,NA,NA,22.71,17.77,NA,NA,3.89,NA
2008,NA,2.41,NA,NA,11.54,18.46,18.94,18.91,NA,8.24,1.49,3.96,NA
2009,0.13,0.05,6.87,10.34,15.81,20.3,19.76,20.93,17.88,11.25,6.84,2.96,11.15
2010,-0.92,0.36,5.15,10.22,17.31,20.93,20.91,22.49,18.18,10.6,5.27,-2.13,10.75
2011,-0.83,3.65,6.94,10.85,14.98,19.77,21.68,20.29,16.47,8.15,4.7,2.86,10.83
2012,1.3,3.81,10.34,10.91,16.2,16.94,21.03,19.14,16.82,10.89,2.92,4.01,11.22
2013,3.92,1.55,2.4,9.85,13.19,18.7,20.09,19.32,16.94,11.75,4.07,3.95,10.53
2014,-1.73,2.96,3.75,10.19,NA,18.39,20.05,19.83,18.54,11.09,2.66,3.39,NA
2015,0.9,-0.54,7.41,11.86,14.62,19.52,20.81,20.06,16.3,11.36,9.28,9.38,11.77
2016,0.7,2.86,9.56,12.17,17.65,22.74,22.9,22.52,19.93,13.44,5.69,5.03,12.96
2017,7.16,7.39,7.38,14.3,16.45,20.33,22.03,21.78,18.23,13.36,6.13,4.32,13.29
2018,-0.28,10,6.2,9.33,17.94,21.03,21.76,21.32,21.34,14.55,6.87,5.1,12.93
2019,3.98,6.49,7.55,12.18,17.21,18.58,19.35,19.58,18.05,13.24,3.68,4.52,12.07
2020,5.33,5.4,10.9,10.3,14.31,18.69,21.43,21.03,17.56,14.09,8.7,1.55,12.47
2021,2.92,3.61,7.85,9.16,13.57,19.49,20.36,20.93,16.66,12.82,3,5.99,11.42
2022,0.25,4.96,7.72,9.85,15.93,18.87,21.12,20.09,16.89,9.31,8.61,2.38,11.36
2023,4.08,6.72,7.63,10.78,13.73,18.12,22.44,21.55,17.75,11.61,6.44,4.06,12.11
2024,2.83,4.25,9.17,11.93,17.21,20.16,22.22,21.1,19.27,11.89,10.57,3.5,12.86
2025,-1.03,5.22,7.4,13.34,17,20.27,21.68,NA,NA,NA,NA,NA,NA
