year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1998,0,1,7,5,0,1,0.96,2,2.03,2,0,4,24.99
1999,2,3,0.66,4,NA,3,2.97,0,5,3,1,3,NA
2000,7,0,1,6,0,0.05,1,NA,5,3,4,8.88,NA
2001,5,1,6.61,2.91,0,5.96,4,NA,1,3.88,0,0,NA
2002,2.94,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,6,3,NA,5,NA,NA,NA,0,NA,NA,2,4.64,NA
2004,3.3,NA,0.97,1,NA,NA,NA,NA,2,NA,0,4.6,NA
2005,NA,2,3,5.62,NA,NA,NA,NA,0,NA,NA,0,NA
2006,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA
2007,2,2,NA,NA,NA,0.99,NA,NA,NA,NA,NA,NA,NA
2008,7,0,1,4.58,NA,1,NA,5,NA,5,NA,1,NA
2009,4,2,1,NA,NA,0,NA,2,1.91,5,3.57,2,NA
2010,8,8.97,NA,1,1,0,NA,0,1,NA,1,11.25,NA
2011,5,1,4,0,NA,NA,NA,NA,3,NA,0,0,NA
2012,1,0,0,2,0,NA,NA,1,NA,2,NA,0,NA
2013,0,NA,7.6,NA,NA,NA,NA,NA,NA,0.68,5,0,NA
2014,7,3.69,6,4,NA,NA,NA,0,3,NA,5,0.69,NA
2015,3,NA,6,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2016,NA,2,0,1,4.95,1,0,0,1,1,2,1.86,NA
2017,2,0,5,0,3.71,5.88,1,6.43,5.75,1,1.01,9,40.79
2018,8.88,0,6,6.87,2,1,2.66,0.97,NA,NA,NA,NA,NA
2019,NA,NA,NA,NA,NA,NA,NA,1,0,0,6,1,NA
2020,0.99,3,0,2,NA,3.06,0,2,5.96,1.99,1,5,NA
2021,2,2,1.7,6,3,4,0,5.95,0,1,2.66,2,NA
2022,2.65,2,0.97,1,2,0,1.95,1,2,3,2.81,2,21.38
2023,0,0,0.01,2,5.64,4.96,2,1,1,2.99,3,0,22.6
2024,1.96,1,0,1,2.99,0,1,4.83,6.26,3,1,2,25.04
2025,5,3,1,0,1,0,0,NA,NA,NA,NA,NA,NA
