year,r99p
1904,NA
1905,0
1906,272.6
1907,90.2
1908,0
1909,79.5
1910,0
1911,82
1912,82.6
1913,0
1914,139.7
1915,224.5
1916,0
1917,97.8
1918,0
1919,0
1920,324.9
1921,83.8
1922,0
1923,0
1924,86.4
1925,0
1926,NA
1927,0
1928,NA
1929,469.9
1930,0
1931,0
1932,0
1933,142.2
1934,0
1935,128.3
1936,82.6
1937,87.1
1938,100.3
1939,0
1940,0
1941,0
1942,86.6
1943,0
1944,200.9
1945,0
1946,0
1947,0
1948,220
1949,0
1950,377.3
1951,0
1952,0
1953,162.8
1954,0
1955,99.6
1956,0
1957,0
1958,84.8
1959,0
1960,169.4
1961,0
1962,0
1963,96
1964,187.9
1965,0
1966,107.7
1967,0
1968,0
1969,324.4
1970,99.1
1971,0
1972,188.2
1973,NA
1974,86.4
1975,0
1976,0
1977,0
1978,0
1979,NA
1980,NA
1981,0
1982,NA
1983,0
1984,0
1985,0
1986,0
1987,0
1988,102.1
1989,0
1990,200.7
1991,101.6
1992,329.2
1993,0
1994,425.2
1995,160
1996,81.8
1997,0
1998,181.3
1999,NA
2000,NA
2001,NA
2002,NA
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,295.9
2018,NA
2019,NA
2020,276.4
2021,0
2022,81.3
2023,115.6
2024,222.3
2025,NA
