year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1899,5,NA,3,10,3,2,2,2,0,7,3,5,NA
1900,6,9,5,5,5,2,1,0,0,4,8,NA,NA
1901,4,6,5,17,3,4,2,2,3,5,10,10,71
1902,7,12,3,13,3,1,3,4,6,6,2,4,64
1903,5,3,0,6,13,8,7,3,7,5,10,7,74
1904,9,6,2,10,5,6,5,9,5,7,5,6,75
1905,10,12,5,4,4,4,5,8,2,6,3,9,72
1906,5,6,7,5,11,6,14,11,2,12,8,7,94
1907,2,7,0,15,11,10,10,9,6,12,7,2,91
1908,7,8,1,1,3,7,11,6,5,9,4,2,64
1909,2,2,1,8,7,2,6,4,5,5,2,9,53
1910,1,9,2,8,6,8,7,10,4,3,11,11,80
1911,5,2,6,8,5,2,12,3,0,2,9,7,61
1912,12,10,10,8,4,7,8,4,5,5,10,4,87
1913,NA,3,2,4,3,NA,NA,NA,NA,4,NA,4,NA
1914,3,NA,12,2,2,1,3,5,6,5,7,8,NA
1915,1,0,10,5,2,4,2,2,3,3,0,5,37
1916,2,3,5,4,2,3,11,2,1,7,5,1,46
1917,2,4,4,2,9,3,5,4,8,6,5,13,65
1918,11,2,0,7,3,3,6,2,7,0,6,7,54
1919,4,1,0,2,4,7,9,4,2,0,1,0,34
1920,6,6,4,5,9,5,7,6,2,6,4,0,60
1921,1,2,1,1,7,2,8,3,0,4,1,0,30
1922,6,1,0,2,8,0,2,10,1,3,2,4,39
1923,1,5,4,2,6,4,6,0,0,5,6,1,40
1924,1,4,7,4,4,0,4,0,9,7,2,6,48
1925,1,0,1,3,6,1,0,3,0,3,6,5,29
1926,4,1,9,3,1,4,7,0,0,2,7,1,39
1927,2,0,3,2,2,3,3,6,0,2,2,3,28
1928,3,3,3,6,6,5,6,4,3,1,3,2,45
1929,NA,1,0,1,6,3,7,3,5,3,6,8,NA
1930,2,1,5,4,1,4,3,4,0,8,9,10,51
1931,3,3,5,3,4,0,0,5,0,1,1,0,25
1932,0,1,6,0,5,3,0,4,5,6,8,4,42
1933,1,2,0,4,0,4,6,5,1,4,5,0,32
1934,1,6,5,5,6,1,0,3,2,2,3,4,38
1935,4,1,0,4,3,1,8,6,6,4,5,13,55
1936,6,7,1,4,1,1,2,0,0,0,5,4,31
1937,1,4,5,5,3,2,3,0,3,7,4,3,40
1938,3,0,0,4,1,5,4,0,2,3,5,3,30
1939,0,1,0,4,4,2,1,4,2,5,5,2,30
1940,11,4,6,6,7,5,7,4,2,2,6,0,60
1941,1,4,4,1,3,6,5,1,1,0,2,1,29
1942,3,10,1,2,1,3,1,3,2,1,1,2,30
1943,2,4,6,7,2,0,2,2,4,5,3,6,43
1944,3,3,5,8,2,0,8,4,5,0,5,7,50
1945,1,2,0,1,5,1,5,4,3,6,3,9,40
1946,2,0,1,4,3,3,4,3,4,3,1,3,31
1947,0,6,14,1,2.99,5.92,6.87,4,5,2.91,7.97,3.73,60.39
1948,6,6.68,1.99,0.7,1.71,1.96,5,4,4.71,6,0,2,40.75
1949,1,2.96,3,4.99,1,8.96,3,4.87,6,0,3.49,1,40.27
1950,0,0,5,5.66,3,2,5.97,1,4,3,7,8,44.64
1951,0.99,3,5.66,5.87,1,1,4,0,4,2,10,2,39.52
1952,2,4,2,4,4.96,1,1.88,2.99,3.97,4.69,1,5,37.49
1953,1,2,1,4.84,0,1,3.69,6,2,1,5.95,3,31.48
1954,1,0,5,0,8.94,1.91,2,0,2,4.91,5,5,35.75
1955,2.99,2,3,1,1,4.97,0,1,3.73,1,2,6.73,29.42
1956,2,0,5,5,2,2,0,1,6,5,2.65,1.96,32.61
1957,5,0,3,1.99,2.87,4,6,2.86,3,8,3,4.65,44.36
1958,7.73,8.96,6,4,3.58,5,4,1,1,7,0,6,54.27
1959,3,5.57,4,3,1,0.99,4,0.68,5.94,5,5,3,41.17
1960,3.92,3,18.95,2,5,3,3,3,0.69,2,2,7,53.56
1961,5.99,4,1,10,7.68,7.83,4,5,3,2.92,NA,NA,NA
1962,3.82,0,3.01,5.97,1,3,2,3,3,2,NA,NA,NA
1963,NA,NA,NA,5.6,10,8.86,3.69,1,6,0,2,8.9,NA
1964,5.96,4.43,1.01,5,4,2,12,7,2,7.65,0.96,3,55.01
1965,2,6,6.96,NA,0,7,4,1,4,4,0,3,NA
1966,8,1,5,1,5.66,7.95,5,6,3,1.87,3,2,49.48
1967,0,NA,1,1,5.69,7.84,5,6.03,10,1,NA,0,NA
1968,9,4.87,3,1,2,2,1.88,4,1,2,7,5,42.75
1969,3,5,4.99,1,3,0,0,11,8,2,3.42,1,42.4
1970,9.73,1,2,2,1,2,0,2,1,1,4,4,29.73
1971,2,3,6.99,1,3,0,4.94,4,0,0,6.86,4,35.78
1972,2,4,2,5,7.88,3,NA,1.03,0.01,0,6,1,NA
1973,6,6,0,4.01,1,2,0,NA,0,0,NA,NA,NA
1974,0,0,0.96,0.64,NA,NA,5,2.71,NA,5,4,1.97,NA
1975,0,1,3,3,0.69,NA,NA,0,3,NA,NA,NA,NA
1976,NA,NA,NA,NA,NA,NA,3.86,6,7.99,9.7,11.99,3.96,NA
1977,10.94,7.91,0,1.99,2,2.78,2,2,0,8,4.68,7,49.29
1978,9,12.87,8.9,2,3.99,0.13,3,1,1.71,2,0,2,46.6
1979,4.06,6,2,1.04,3.66,11.87,5,2.87,6,3,1.97,1,48.48
1980,0.91,10,4,0,2.95,5,5,1,1.96,4.88,2,NA,NA
1981,NA,2.97,4,0,3,0,3,9,2.86,5,0,8,NA
1982,5.96,2,1,4,1,2,6.99,2.91,6,3,1.99,2,38.84
1983,5,4.65,7.87,8,1,6.55,0.58,2,3,0,1,8,47.65
1984,3.86,2.97,1,1,3.87,1.9,8,2,8.62,2,1.06,2,38.29
1985,3,2,0,0,0,2.96,3,3,2,0.62,0,5,21.58
1986,3,1,2,1,0,1,0,5.95,2,0,2,0,17.95
1987,1,5,2,4.64,0,0,0,1,1.96,4,1,0,20.6
1988,7.96,NA,3,2,1.91,3,4,3,5.01,4,NA,3,NA
1989,NA,2.58,5,3,4.97,0,4.65,5,3,4,2,10,NA
1990,0,0,1,1.97,NA,0.9,2,0.88,0,1,0,0,NA
1991,0,1,0.01,1,2,4.86,1,2,2,0,6.97,0,20.84
1992,0,0,1,3.99,4.91,4.06,2,4,1,6,3,2,NA
1993,1,2,3,2,0,0,0,0,1,1,4,1,15
1994,2,0,0,0,1.99,0,NA,3,3,6,0,0,NA
1995,0.95,4,0,0,0,3.96,2,13,5.88,1,5.65,6.13,42.57
1996,1.95,3,5.96,2,3,0,2,4.61,1,4.95,1.99,3,33.45
1997,2.87,0,NA,1,5,6,1,4.94,4,7,3,3,NA
1998,0,0,3,1,0,0,0,3,2,1,0,2,12
1999,1.94,2.99,0,2,1,6.91,4,0,NA,0.91,NA,1,NA
2000,4,0,0,6,0,0,2,NA,2.95,2,5,6,NA
2001,3,NA,1.77,6,0,3.7,3,0,1,1.88,NA,1,NA
2002,2,1,1,0,3,4.87,2,NA,1,0,1,3,NA
2003,3.73,1.87,4.95,4,2,2,4,0,NA,4,3,1,NA
2004,3,2,0,0,0,0,0,NA,1,1.99,1,3,NA
2005,1.97,1,NA,2.9,NA,NA,0,3,0,NA,NA,1.58,NA
2006,0,0,1.95,0,2,0,2.64,0,NA,3.96,2.87,1,NA
2007,0,0,0,2,1,4,1.88,0,4,NA,0,0,NA
2008,2.82,0,0,5,1,0,1,4,0,6.56,3.96,0,24.34
2009,2,1,2,0,2,2,0,2.99,0,2,0,1,14.99
2010,5.91,3.64,1,0,1,0,0,1,1.7,0,2.62,6,22.87
2011,3.97,0,4,0,2.87,0,0,0,1,2.73,0,0,14.57
2012,0,0,0,NA,1.99,3.65,1,4.3,0,2,NA,0,NA
2013,NA,1,NA,1.97,7,NA,3,2,0,NA,NA,0,NA
2014,4,2,5,1.97,1,0,3,2,3,0,4,0,25.97
2015,1,2,2,6.6,3,1,1,1.9,0,5.83,0.96,0,25.29
2016,0.99,3,2,14.97,21,6.95,0,1,2,2.78,1,3,58.69
2017,2,0,4,0,6,6,6,4.88,4.86,4,2,6.49,46.23
2018,11.78,0,5,6,0,2,4,1,0.74,2,6,4,42.52
2019,2.97,1,1.77,4,1,3.74,0,3,2,0.99,5,1.96,27.43
2020,1,2.7,0,2,6,NA,0,2,NA,NA,0,5,NA
2021,0,5.7,2,6,4.62,7.88,3.69,2,0,1,3,1,36.9
2022,3.95,2,0.97,2,1,1,3,0,3,5,3,4,28.92
2023,0,0,0.06,2,6,5.61,1,1,1,2,5,0,23.68
2024,2,1,0,1,0,0,0.88,4,3,2,1,3,17.88
2025,3,2,1,0,4,2,0,NA,NA,NA,NA,NA,NA
