year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1994,1,3,0.99,4,0,1,NA,2,1,0,4,1,NA
1995,1,2,3,7.84,8,1,0.75,3,0,1,1.97,2,31.57
1996,0,3,0,1.65,7.4,2,3,0,0,1,0,3.74,21.79
1997,1.96,4,NA,0,0,0,3,0,2,0,1,0,NA
1998,2,0,0,0,1.68,9.88,6.87,3,0,2,3,14,42.43
1999,4.83,7,0,8.49,0,0,4,11.95,NA,0,NA,0,NA
2000,3,0,3,0,8,3.73,11.69,NA,1,1,2,0,NA
2001,0,NA,0.01,6,5.99,3.96,0,0.99,0,4,NA,5.95,NA
2002,5.97,2,5,13.65,8,7,6,NA,2,3,2,0,NA
2003,0,0.7,0,0,2,0,0,0,NA,0,6.71,0,NA
2004,3,0,7.86,3.87,8,2,0,NA,0,1,4.81,5.69,NA
2005,6.66,0.91,NA,0,NA,NA,3,4,7.43,NA,NA,0,NA
2006,5.97,1,3,6.62,5,5,5,5.99,NA,3.96,2.97,5.66,NA
2007,6.87,0,6.96,2.87,4,1.91,3,13.79,2,NA,1,8,NA
2008,4,3,0,1.94,2,12.95,1,5,1.97,0,0,8,39.86
2009,2,2.99,1,2,3.6,5.79,4.97,3,11,6,1,0,43.35
2010,0,0,0,7.77,0.68,7.95,13.78,5,5,5.42,3.95,0,49.53
2011,0,5,6.86,7,9,14,10,13,5.68,0,4,2.86,77.39
2012,6,7.73,15.6,NA,2,1.97,7.96,0,2,1,NA,1.96,NA
2013,NA,1,NA,1,0,NA,0,0,0,NA,NA,7.9,NA
2014,1,4,1.77,2,7,0.75,0,4,1,9,1.97,1,33.49
2015,0,0,6,3,3,6.84,0,0,2,1,1.99,15.53,39.36
2016,0,4,4.7,0,0,0,0,2,1,1,1.88,1.99,16.57
2017,7.73,3,3,0.01,0,0,0,0,2,3,1,0,19.74
2018,0,10,1,0,1,0,0,0,2,4,1,0,19
2019,1,6,1.92,0,6,1,0.75,1,4.95,5,1,1,29.62
2020,5,3.7,6.74,0,0,NA,0,0,NA,NA,4.86,1,NA
2021,2,2.95,4.88,0,0,0,0,0,0,3.95,1,10,24.78
2022,4,6,4,0.71,5.79,7.74,1,2,2,1,5,2.81,42.05
2023,5.87,13.61,8,3,1,0,0,5,1,3.68,2.71,1,44.87
2024,4,0,2.74,5,1,2.9,3,3.92,4,6,7.86,2,42.42
2025,1,9,1,2,2,0,4,NA,NA,NA,NA,NA,NA
