year,fd
1904,NA
1905,29
1906,15
1907,11
1908,NA
1909,19
1910,NA
1911,NA
1912,27
1913,7
1914,27
1915,16
1916,23
1917,26
1918,21
1919,11
1920,22
1921,3
1922,13
1923,9
1924,16
1925,10
1926,10
1927,19
1928,20
1929,16
1930,19
1931,11
1932,8
1933,6
1934,22
1935,33
1936,18
1937,23
1938,17
1939,18
1940,31
1941,20
1942,24
1943,30
1944,18
1945,20
1946,10
1947,16
1948,17
1949,8
1950,17
1951,22
1952,14
1953,11
1954,22
1955,23
1956,21
1957,10
1958,33
1959,22
1960,37
1961,24
1962,18
1963,41
1964,18
1965,22
1966,28
1967,17
1968,47
1969,33
1970,33
1971,19
1972,13
1973,NA
1974,NA
1975,NA
1976,22
1977,NA
1978,34
1979,27
1980,NA
1981,30
1982,NA
1983,NA
1984,24
1985,32
1986,15
1987,16
1988,30
1989,17
1990,NA
1991,17
1992,14
1993,17
1994,21
1995,29
1996,36
1997,15
1998,9
1999,NA
2000,NA
2001,NA
2002,NA
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
2020,NA
2021,11
2022,21
2023,15
2024,15
2025,NA
