year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1984,11.73,17.04,19.96,22.67,28.31,32.74,32.1,31.99,28.07,27.2,18.51,20.61,24.25
1985,11.56,15.8,22.37,26.18,28.68,31.91,31.91,30.59,29.31,25.5,22.63,14.22,24.25
1986,13.08,18.41,20.88,26.55,28.94,32.46,35.6,31.41,30.48,24.76,20.15,14.41,24.79
1987,12.32,13.52,18.87,23.1,28.75,31.8,34.19,33.59,29.37,22.69,21.98,16.76,23.97
1988,10.21,14.81,20.45,24.51,28.31,31.51,33.14,32.97,28.12,21.96,20.96,15.84,23.58
1989,17.04,16.67,19.92,24.02,27.25,30.83,31.34,30.49,27.88,24.88,20.24,10.99,23.48
1990,18.48,20.8,21.13,24.54,28.38,31.85,34.03,32.48,30.15,25.68,21.35,16.85,25.5
1991,12.96,17.92,21.16,24.67,28.18,30.21,31.94,30.77,29.56,24.78,17.88,16.91,23.94
1992,14.68,17.28,19.63,23.01,26.16,28.89,32.73,30.52,30.08,24.96,20,13.9,23.48
1993,16.25,14.29,19.05,23.69,29.53,33.64,35.95,33.91,31.34,24.55,20.83,14.44,24.86
1994,13.09,17.66,23.12,26.82,27.74,31.88,32.32,31.75,29.26,24,21.61,16.31,24.68
1995,14.88,15.28,22.29,27.37,30.59,30.63,34.68,33.35,29.55,27.16,18.73,15.04,25.02
1996,14.71,17.12,17.97,24.61,30.88,32.82,33.61,32.6,30.41,25.7,18.89,17.73,24.8
1997,15.32,18.45,24.94,23.78,27.43,29.96,33.44,33.37,30.78,25.02,18.37,14.68,24.67
1998,16.36,16.95,18.95,23.92,30.84,35.05,35.3,34.63,31.57,28.51,23.06,18.8,26.21
1999,18.67,19.17,20.1,26.55,28.85,31.29,34.21,35.52,30.57,25.2,23.17,16.86,25.88
2000,13.8,19.92,23.57,24.17,32.25,34.07,34.32,33.19,29.54,27.44,19.88,10.95,25.27
2001,15.13,18.52,19.77,25.78,30.68,31.84,32.83,34.17,30.19,26.4,25.38,20.48,25.97
2002,17.49,17.68,22.77,28.28,29.52,33.87,36.16,34.56,31.84,26.18,19.92,14.99,26.15
2003,13.6,16.45,21.82,24.41,29.02,32.43,32.42,32.88,30.37,26.15,24.33,15.35,24.98
2004,14.83,14.33,23.12,26.95,32.12,33.24,34.73,32.57,30.07,26.81,22.08,16.77,25.67
2005,16.58,16.86,19.72,24.82,28.43,32.09,34.19,34.02,33.28,26.29,22.02,15.02,25.32
2006,18.05,15.51,20.92,27.95,28.79,32.59,34.76,34.46,30.3,25.4,20.68,19.52,25.82
2007,17.6,NA,NA,NA,30.04,NA,NA,37.01,32.48,NA,NA,20.56,NA
2008,NA,20.41,NA,NA,29.65,35.35,34.6,33.93,NA,25.18,18.51,19.35,NA
2009,15.09,17.45,19.25,22.86,26.42,31.5,31.05,31.5,29.49,22.12,18.78,12.67,23.2
2010,11.25,11.29,17.88,25.98,28.52,33.31,32.86,32.68,30.91,25.5,19.74,10.74,23.44
2011,10.78,17.44,19.93,26.07,28.84,34.19,34.55,33.71,29.78,23.41,21.32,18.6,24.91
2012,17.13,18.31,24.93,25.69,29.23,30.02,33.51,30.25,29.68,24.75,17.65,16.84,24.86
2013,17.69,14.64,16.43,23.2,26.07,30.36,30.24,30.32,29.6,25.04,18.93,16.36,23.29
2014,11.67,15.61,17.51,24.11,NA,31.48,31.81,32.35,28.04,26.11,17.03,16.2,NA
2015,13.34,12.35,21.02,24.61,28.93,32.56,33.38,32.22,27.67,23.62,21.31,20.94,24.35
2016,12.53,15.41,23.49,24.8,28.26,32.6,35.42,33.99,31.64,27.44,21.94,15.95,25.32
2017,18.69,22,22.51,27.83,29.11,31.14,33.53,32.69,31.42,27.33,21.28,15.91,26.15
2018,13.73,21.94,20.02,24.98,30.74,34.52,33.72,34.01,33.2,27.45,17.77,15.84,25.67
2019,15.58,19.88,21.38,26.07,32.09,32.11,33.55,32.96,32.86,26.78,17.41,16.1,25.59
2020,15.68,16.19,21.88,23.79,26.67,29.14,32.62,31.19,27.63,25.83,21.59,13.72,23.85
2021,13.35,14.17,20.25,23.68,27.16,29.63,30.81,30.68,28.58,24.64,18.44,18.03,23.3
2022,12.4,17.4,20.65,23.19,27.85,30.65,30.75,29.56,27.35,22.38,19.35,12.87,22.89
2023,15.89,19.2,19.27,23.53,23.99,28.17,31.68,32.53,28.93,24.55,19.11,16.3,23.62
2024,14.8,17.1,21.27,24.92,28.56,32.09,32.44,30.64,28.46,25.33,21.01,15.18,24.33
2025,11.34,17.94,21.58,26.29,27.22,30.51,31.78,NA,NA,NA,NA,NA,NA
