year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1983,-8.3,-5.6,-2.8,-2.8,6.7,9.4,12.2,12.2,7.2,2.8,-1.7,-13.3,-13.3
1984,-8.3,-6.7,-2.8,3.3,7.2,9.4,17.8,17.2,7.2,5,-3.3,-6.1,-8.3
1985,-16.7,-5,-2.2,0.6,6.7,13.3,17.8,15.6,7.2,5.6,2.8,-5.6,-16.7
1986,-12.2,-3.3,-3.9,0,4.4,16.1,17.8,13.3,13.9,1.7,-2.2,-3.3,-12.2
1987,-2.8,-4.4,-1.7,-0.6,8.3,13.9,15.6,19.4,11.1,-0.6,-2.8,-4.4,-4.4
1988,-6.7,-6.1,-3.3,3.3,6.7,8.3,12.8,17.8,14.4,-1.1,-0.6,-8.3,-8.3
1989,-1.7,-6.1,-1.7,0.6,3.3,17.8,17.2,16.7,13.3,0.6,-1.7,-9.4,-9.4
1990,-2.8,-2.2,-1.1,2.2,7.8,13.9,17.2,19.4,6.1,3.3,-0.6,-2.2,-2.8
1991,-3.3,-8.9,0,5.6,11.1,12.2,21.1,17.8,8.9,5,-2.8,-5,-8.9
1992,-3.9,-1.7,-1.7,0,7.8,12.2,18.9,16.7,11.1,1.7,-1.1,-3.3,-3.9
1993,-2.2,-3.9,-4.4,1.7,8.3,16.7,15.6,17.2,8.3,1.7,-0.6,-6.1,-6.1
1994,-10.6,-4.4,0.6,3.9,8.3,17.2,20,15,12.8,3.9,0,-2.2,-10.6
1995,-3.9,-8.9,-1.1,4.4,7.8,13.3,18.3,20,10.6,5,-2.2,-6.1,-8.9
1996,-6.1,-10,-6.7,0,6.1,12.2,18.9,14.4,11.1,2.2,-3.9,-7.2,-10
1997,-7.8,-2.2,2.2,1.7,7.2,12.8,17.2,14.4,10,3.3,-2.8,-6.1,-7.8
1998,-6.1,-1.7,-4.4,5.6,11.7,12.8,20,15.6,12.2,2.8,1.1,-3.3,-6.1
1999,-7.8,-3.9,-1.7,3.3,8.3,15,17.2,13.3,6.7,0,-3.3,-5,-7.8
2000,-6.7,-3.9,1.1,1.1,8.3,12.2,18.3,16.1,10,0.6,-5.6,-8.3,-8.3
2001,-9.4,-1.7,-2.2,0,8.9,17.2,16.1,17.2,5.6,-1.7,-1.1,-3.9,-9.4
2002,-6.1,-7.8,-6.7,5,5,13.3,16.7,13.9,16.1,6.1,-3.3,-3.3,-7.8
2003,-10,-1.1,0.6,2.8,11.1,13.9,20,21.7,7.2,6.1,-2.8,-5.6,-10
2004,-5,-2.2,-0.6,2.2,7.2,18.3,18.3,13.9,12.2,7.8,-1.1,-6.1,-6.1
2005,-8.9,-2.8,-2.2,1.7,6.7,12.8,17.2,19.4,14.4,1.1,-3.3,-6.1,-8.9
2006,-3.3,-3.9,-1.1,2.8,7.2,11.1,14.4,15.6,8.9,-0.6,-2.2,-7.8,-7.8
2007,-3.9,NA,NA,NA,7.8,NA,NA,20,11.1,NA,NA,-5,NA
2008,NA,-4.4,NA,NA,5,15.6,15,14.4,NA,-1.7,-6.1,-4.4,NA
2009,-8.9,-10.6,-3.3,0,8.3,16.1,16.1,16.1,8.9,1.7,0.6,-2.2,-10.6
2010,-7.8,-4.4,-2.8,5,10.6,14.4,15.6,16.7,12.8,2.8,-1.7,-7.8,-7.8
2011,-7.8,-5,-0.6,0,7.8,16.7,18.3,15,11.1,-1.1,-2.8,-3.9,-7.8
2012,-7.8,-7.2,1.1,1.7,10,12.2,17.8,15.6,10,4.4,-2.2,-5,-7.8
2013,-3.9,-5,-4.4,3.3,6.1,11.7,15,10,10.6,-1.1,-5,-6.1,-6.1
2014,-11.1,-2.8,-2.8,0.6,NA,12.2,17.8,15,12.8,3.9,-7.2,-3.9,NA
2015,-9.4,-9.4,-2.2,4.4,7.2,15.6,17.8,16.1,8.3,3.3,-0.6,-2.2,-9.4
