year,r95p
1895,NA
1896,273.8
1897,NA
1898,NA
1899,485.4
1900,NA
1901,58.7
1902,253.2
1903,NA
1904,110
1905,216.9
1906,543
1907,440.7
1908,534.2
1909,249.4
1910,188.5
1911,102.9
1912,276.4
1913,147.1
1914,175.8
1915,312.2
1916,144.8
1917,202.9
1918,242.6
1919,348
1920,204.5
1921,193
1922,364.5
1923,143.5
1924,209.6
1925,275.6
1926,218.2
1927,NA
1928,NA
1929,NA
1930,178.8
1931,0
1932,346
1933,41.7
1934,449.3
1935,208.3
1936,293.4
1937,171.9
1938,250.4
1939,182.4
1940,184.9
1941,400
1942,195.8
1943,320.8
1944,381.8
1945,NA
1946,230.6
1947,279.4
1948,641.1
1949,232.4
1950,143.3
1951,NA
1952,42.7
1953,NA
1954,46.7
1955,157.5
1956,95.2
1957,100.1
1958,165.9
1959,591.6
1960,NA
1961,336.3
1962,243.8
1963,233.4
1964,713.5
1965,207.3
1966,423.2
1967,186.9
1968,177.6
1969,357.4
1970,350.3
1971,322.1
1972,211.6
1973,449.6
1974,217.7
1975,87.1
1976,359.9
1977,161.6
1978,302.3
1979,375.4
1980,129
1981,260.6
1982,41.7
1983,177
1984,305.3
1985,346.7
1986,147.8
1987,208.3
1988,109.2
1989,345.7
1990,459.7
1991,176.5
1992,196.3
1993,196.3
1994,488.2
1995,694.9
1996,126
1997,373.9
1998,291.6
1999,74.9
2000,NA
2001,NA
2002,NA
2003,NA
2004,286.2
2005,408.7
2006,365.8
2007,309.1
2008,361.2
2009,523.5
2010,249.2
2011,297.9
2012,209.8
2013,229.4
2014,287.8
2015,319
2016,634
2017,378.7
2018,272.3
2019,171.4
2020,NA
2021,NA
2022,212.3
2023,772.1
2024,624.3
2025,NA
