year,r20mm
1895,NA
1896,14
1897,NA
1898,NA
1899,19
1900,NA
1901,20
1902,21
1903,NA
1904,10
1905,16
1906,22
1907,18
1908,19
1909,18
1910,20
1911,18
1912,23
1913,16
1914,18
1915,26
1916,16
1917,16
1918,20
1919,16
1920,25
1921,15
1922,21
1923,20
1924,27
1925,13
1926,28
1927,NA
1928,NA
1929,NA
1930,23
1931,8
1932,20
1933,16
1934,22
1935,16
1936,18
1937,19
1938,19
1939,9
1940,16
1941,16
1942,20
1943,19
1944,16
1945,NA
1946,16
1947,27
1948,36
1949,15
1950,15
1951,NA
1952,20
1953,NA
1954,11
1955,19
1956,17
1957,16
1958,20
1959,21
1960,NA
1961,17
1962,23
1963,16
1964,31
1965,23
1966,15
1967,18
1968,9
1969,16
1970,18
1971,24
1972,14
1973,22
1974,22
1975,17
1976,21
1977,24
1978,16
1979,22
1980,15
1981,18
1982,14
1983,23
1984,23
1985,17
1986,12
1987,20
1988,14
1989,19
1990,18
1991,26
1992,29
1993,19
1994,15
1995,23
1996,15
1997,29
1998,20
1999,14
2000,NA
2001,NA
2002,NA
2003,NA
2004,20
2005,20
2006,14
2007,13
2008,17
2009,21
2010,17
2011,18
2012,19
2013,20
2014,17
2015,24
2016,21
2017,16
2018,20
2019,12
2020,NA
2021,NA
2022,13
2023,24
2024,19
2025,NA
