year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1959,-7.8,-3.3,-0.6,4.4,11.7,17.2,19.4,19.4,15.6,5.6,-6.1,-5,-7.8
1960,-7.2,-4.4,-6.1,1.1,7.8,13.3,20,17.2,16.1,4.4,1.1,-7.2,-7.2
1961,-7.8,-2.2,1.7,3.9,8.9,13.3,18.9,17.8,12.8,5,-1.1,-6.1,-7.8
1962,-8.3,-2.8,-2.2,2.2,11.1,17.2,20,17.2,9.4,1.1,0,-12.8,-12.8
1963,-9.4,-5.6,1.1,5.6,5,15.6,16.1,19.4,12.2,1.1,-2.8,-7.2,-9.4
1964,-7.2,-2.8,-1.7,5,11.7,15,16.1,17.8,12.2,2.8,2.2,-4.4,-7.2
1965,-5.6,-4.4,-1.1,6.1,10,15,18.3,17.8,16.1,1.7,0,-4.4,-5.6
1966,-12.2,-6.1,-2.2,2.8,8.9,12.2,16.1,16.7,14.4,5.6,-1.7,-4.4,-12.2
1967,-2.2,-7.8,0,3.9,8.9,13.3,15,15.6,6.1,3.9,-2.2,-3.3,-7.8
1968,-5,-6.1,-2.2,4.4,10,15.6,19.4,16.7,13.3,1.7,-2.8,-6.7,-6.7
1969,-4.4,-2.2,-2.2,6.7,7.2,15.6,20.6,17.2,13.9,7.2,-3.9,-2.8,-4.4
1970,-12.2,-8.3,-0.6,4.4,8.9,15.6,15.6,20.6,8.9,6.7,-7.2,-3.9,-12.2
1971,-7.8,-7.2,-2.8,1.7,4.4,12.8,19.4,19.4,16.1,7.8,-1.7,-0.6,-7.8
1972,-7.8,-4.4,0,2.8,12.2,11.7,16.7,16.7,15.6,3.9,-1.1,-4.4,-7.8
1973,-6.1,-5.6,3.3,1.1,10,NA,NA,17.2,18.9,7.2,NA,-6.1,NA
1974,2.8,-5.6,2.2,2.8,NA,14.4,17.8,20,13.3,3.3,-1.1,-3.3,NA
1975,-3.3,-3.3,-3.3,3.3,12.8,17.2,16.7,20.6,11.1,5.6,-1.7,NA,NA
1976,-7.2,-2.8,0,4.4,7.8,11.7,15.6,17.8,12.8,0.6,-3.3,-7.2,-7.2
1977,-10.6,-4.4,-1.1,NA,10,15.6,18.9,16.7,15.6,3.9,-2.2,-4.4,NA
1978,-6.7,-5.6,-3.9,5.6,11.7,15.6,20,19.4,16.1,5,3.3,-3.3,-6.7
1979,-8.3,-6.1,2.2,6.7,8.3,14.4,18.9,17.2,16.1,5,-3.9,-6.7,-8.3
1980,-3.9,-6.1,-8.3,5,8.9,16.1,18.3,NA,17.2,3.9,0,-4.4,NA
1981,-9.4,-6.7,1.1,5.6,8.3,15.6,18.9,18.3,8.9,4.4,-1.7,-8.3,-9.4
1982,-12.2,1.7,0.6,NA,12.2,NA,NA,18.3,11.7,NA,1.1,NA,NA
1983,-5,-3.3,1.7,0.6,9.4,15.6,18.9,16.7,9.4,5.6,NA,-12.8,NA
1984,-6.1,-5.6,-1.7,6.1,9.4,11.1,18.3,19.4,12.8,8.9,-0.6,-5.6,-6.1
1985,-17.2,-3.3,2.2,3.9,10.6,15.6,19.4,18.9,11.7,8.9,6.1,-8.9,-17.2
1986,-10.6,-2.8,-1.7,3.9,9.4,19.4,19.4,11.1,16.1,5.6,1.7,1.1,-10.6
1987,-2.8,-1.7,1.1,-0.6,12.2,16.7,17.8,21.7,13.9,2.8,-1.7,-2.8,-2.8
1988,-5,-5,-1.7,4.4,9.4,12.8,17.8,20.6,15.6,3.3,0.6,-4.4,-5
1989,-1.7,-5,0,3.9,7.2,18.9,19.4,16.7,13.3,2.2,0,-8.9,-8.9
1990,-2.8,0.6,1.1,1.7,10,17.2,20.6,19.4,NA,5.6,2.2,-1.7,NA
1991,-2.2,-7.2,1.1,7.8,13.3,13.9,20.6,17.2,11.7,5.6,-1.1,-3.3,-7.2
1992,-4.4,-2.2,-0.6,2.8,7.8,16.7,20.6,17.8,13.9,5.6,0.6,-0.6,-4.4
1993,-0.6,-3.9,-5.6,1.7,7.8,17.8,21.1,19.4,11.7,5,-0.6,-3.9,-5.6
1994,-8.3,-3.3,1.1,5,10,19.4,20.6,17.8,14.4,7.8,0,1.1,-8.3
1995,-2.8,-8.3,0.6,6.1,10.6,15,20,20,12.2,5.6,-0.6,-4.4,-8.3
1996,-5.6,-10,-6.1,3.3,8.3,15.6,20,19.4,13.3,4.4,0.6,-5,-10
1997,-5,-1.7,2.8,3.9,9.4,14.4,20.6,17.8,13.3,5,-1.1,-2.8,-5
1998,-4.4,1.1,-3.3,6.1,12.8,13.9,21.1,20,13.9,5,4.4,-2.8,-4.4
1999,-7.2,-2.8,0,5,NA,16.1,20.6,17.2,11.1,3.3,1.1,-3.9,NA
2000,-5.6,-3.3,3.9,2.2,10,15.6,18.9,NA,11.1,4.4,-2.8,-8.3,NA
2001,-6.7,0,1.7,2.2,12.2,18.9,18.3,NA,10.6,0.6,3.9,-4.4,NA
2002,-5.6,-5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,-10,0,NA,1.1,NA,NA,NA,20,NA,NA,-3.3,-5.6,NA
2004,-5,NA,0,3.3,NA,NA,NA,NA,13.9,NA,0.6,-5.6,NA
2005,NA,-2.2,-4.4,2.8,NA,NA,NA,NA,15.6,NA,-0.6,-4.4,NA
2006,NA,-3.3,NA,NA,NA,NA,NA,18.3,NA,NA,NA,-7.8,NA
2007,-3.3,-5.6,NA,-2.2,NA,NA,NA,21.1,NA,NA,-2.2,-3.9,NA
2008,-7.2,-3.3,-1.1,1.7,NA,18.9,NA,18.9,12.8,0.6,-4.4,-2.2,NA
2009,-7.2,-7.2,-4.4,1.7,NA,19.4,17.2,17.8,10,3.3,2.2,-2.2,NA
2010,-7.8,-2.8,-2.2,0.6,11.7,18.9,NA,NA,15.6,3.9,-1.7,-7.2,NA
2011,-7.8,-2.2,-0.6,3.3,NA,18.3,NA,NA,12.8,NA,-1.1,-2.2,NA
2012,-5,-5,5,6.1,12.8,NA,NA,NA,12.8,7.2,NA,-1.1,NA
2013,0.6,NA,-1.7,NA,NA,NA,NA,NA,11.7,2.2,-3.3,-1.7,NA
2014,-8.9,NA,NA,3.9,NA,NA,NA,16.1,NA,NA,NA,-3.3,NA
2015,-6.7,NA,0,NA,NA,15,NA,NA,NA,NA,NA,NA,NA
2016,NA,-2.8,1.7,5.6,7.8,16.1,20,18.3,11.7,NA,-0.6,-2.2,NA
2017,-5,-2.2,-2.8,3.9,8.3,NA,NA,NA,NA,NA,NA,NA,NA
2018,-7.2,NA,NA,NA,6.1,NA,NA,NA,NA,NA,NA,NA,NA
2019,NA,NA,NA,NA,NA,NA,NA,NA,15,10,-1.1,-1.7,NA
2020,-2.2,-2.8,-1.1,4.4,NA,16.7,20.6,20.6,12.2,10,1.7,-4.4,NA
2021,-2.8,-2.8,0,0.6,7.2,13.3,20,21.7,12.2,7.2,-2.2,0,-2.8
2022,-6.7,-0.6,-3.9,2.8,10,17.2,20.6,18.3,11.1,1.7,-1.1,-8.9,-8.9
2023,-3.3,-3.3,0,7.2,8.3,16.1,21.1,19.4,14.4,6.1,-3.3,-2.8,-3.3
2024,-5.6,0,1.7,5.6,12.2,15,21.1,19.4,15.6,4.4,-1.1,-3.9,-5.6
2025,-7.8,-3.3,0,6.1,12.8,16.7,21.1,NA,NA,NA,NA,NA,NA
