year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1986,0.6,5.6,8.9,18.3,22.8,24.4,30.6,19.4,24.4,17.2,6.1,7.8,0.6
1987,2.8,3.9,6.1,10.6,20.6,27.8,31.1,29.4,22.8,16.7,12.2,9.4,2.8
1988,-0.6,6.1,8.9,15.6,20.6,21.1,25,24.4,18.3,12.2,12.2,6.7,-0.6
1989,5.6,1.7,1.1,10,19.4,23.3,28.3,21.7,16.1,12.8,8.9,-6.1,-6.1
1990,11.1,7.2,10.6,17.2,21.7,26.7,28.9,27.2,22.8,16.1,13.3,6.1,6.1
1991,5,5,12.8,17.8,20,25.6,27.8,25,22.8,15.6,3.9,6.7,3.9
1992,5,8.3,10,13.3,10.6,20,28.9,21.7,17.2,17.2,12.8,6.7,5
1993,6.1,3.9,5.6,14.4,24.4,23.3,33.3,28.9,22.2,13.9,10.6,5.6,3.9
1994,-1.1,4.4,15,21.1,15,25,25.6,25.6,20,16.7,12.2,7.2,-1.1
1995,5,3.3,9.4,17.2,25,21.7,30.6,28.3,16.1,18.3,8.3,5.6,3.3
1996,2.8,0,6.7,13.3,19.4,27.8,24.4,29.4,20.6,17.2,8.9,6.1,0
1997,4.4,7.2,16.7,16.7,19.4,19.4,21.7,28.3,20,13.9,10.6,6.7,4.4
1998,6.1,8.9,7.8,15.6,25,26.7,32.8,30.6,27.2,19.4,16.7,4.4,4.4
1999,5,7.8,7.8,13.3,17.2,22.8,24.4,29.4,22.2,17.8,10.6,6.7,5
2000,2.8,11.7,11.7,13.9,27.2,28.9,25,25,19.4,16.7,7.2,2.8,2.8
2001,7.8,7.2,11.1,15,26.7,25.6,28.3,31.1,23.3,16.1,18.3,8.9,7.2
2002,0,6.7,7.2,21.1,19.4,26.7,30,26.1,25,15.6,12.2,6.7,0
2003,2.8,2.8,10.6,10.6,19.4,28.3,26.7,30.6,23.3,17.8,11.7,4.4,2.8
2004,0.6,2.8,12.8,17.2,23.9,27.2,30.6,25,25,20,10.6,3.3,0.6
2005,1.1,4.4,5,16.1,16.7,21.1,30,27.8,25,17.8,12.8,5,1.1
2006,10.6,8.9,11.1,19.4,18.3,25,30,22.8,21.7,16.1,7.2,7.2,7.2
2007,5,NA,NA,NA,22.8,NA,NA,32.2,23.9,NA,NA,11.1,NA
2008,NA,10,NA,NA,24.4,32.2,32.2,26.1,NA,11.7,7.8,7.8,NA
2009,5,5.6,6.7,11.7,17.2,24.4,27.8,26.7,23.3,13.3,10,4.4,4.4
2010,3.3,2.2,5.6,20,22.8,28.9,28.9,29.4,21.7,21.1,12.2,2.2,2.2
2011,0,5,5.6,15.6,20.6,30.6,29.4,28.3,20.6,15.6,11.1,11.1,0
2012,4.4,8.9,13.9,15,23.3,21.7,28.9,24.4,20,15.6,8.9,8.9,4.4
2013,2.2,6.1,8.3,11.7,16.1,25.6,25.6,18.9,24.4,16.7,10,6.1,2.2
2014,-1.1,-1.1,2.2,13.3,NA,26.7,25.6,22.8,17.2,20,6.7,6.7,NA
2015,1.1,1.7,5.6,15,20,25.6,27.2,27.8,21.1,15,13.3,11.7,1.1
2016,2.8,5,15.6,16.7,19.4,25.6,32.2,31.7,25,20,9.4,5,2.8
2017,5.6,11.1,8.3,20,20.6,21.7,26.7,25.6,21.7,17.8,10.6,5,5
2018,-0.6,10.6,11.1,16.7,25.6,25,27.8,28.9,23.9,12.2,7.8,5,-0.6
2019,6.7,8.3,10.6,13.3,24.4,23.9,30,27.2,26.7,20,7.2,7.2,6.7
2020,4.4,6.7,11.7,16.7,20,18.9,25,25,20,18.9,13.3,4.4,4.4
2021,6.7,3.9,10.6,11.7,19.4,25,27.8,26.1,24.4,16.1,8.9,5.6,3.9
2022,3.9,5.6,11.1,10.6,17.8,25,25,25.6,13.9,13.9,9.4,-2.2,-2.2
2023,7.8,7.8,10,8.3,15,22.8,26.1,24.4,21.1,17.2,7.8,8.3,7.8
2024,3.9,10.6,11.7,18.3,22.2,26.1,27.2,23.3,23.9,16.1,12.2,7.8,3.9
2025,-0.6,2.8,9.4,18.3,19.4,26.1,28.3,NA,NA,NA,NA,NA,NA
