year,r99p
1899,NA
1900,NA
1901,0
1902,0
1903,NA
1904,0
1905,0
1906,173.2
1907,120.7
1908,0
1909,112
1910,0
1911,0
1912,0
1913,NA
1914,0
1915,135.6
1916,140.5
1917,0
1918,NA
1919,0
1920,0
1921,0
1922,0
1923,0
1924,105.4
1925,0
1926,85.6
1927,199.7
1928,127
1929,0
1930,0
1931,0
1932,212.9
1933,104.6
1934,241.8
1935,127
1936,0
1937,95.3
1938,108
1939,0
1940,329.7
1941,158.8
1942,0
1943,0
1944,256.6
1945,152.4
1946,0
1947,109.2
1948,197.4
1949,171.5
1950,NA
1951,0
1952,0
1953,0
1954,149.9
1955,180.6
1956,92.2
1957,91.4
1958,88.9
1959,133.6
1960,87.6
1961,91.9
1962,NA
1963,NA
1964,394.3
1965,NA
1966,95.3
1967,NA
1968,0
1969,279.5
1970,0
1971,122.4
1972,0
1973,NA
1974,NA
1975,NA
1976,NA
1977,NA
1978,0
1979,NA
1980,NA
1981,89.9
1982,1016
1983,0
1984,102.1
1985,0
1986,86.9
1987,101.1
1988,NA
1989,NA
1990,NA
1991,NA
1992,0
1993,95.8
1994,NA
1995,NA
1996,94.5
1997,0
1998,107.2
1999,91.4
2000,NA
2001,NA
2002,99.1
2003,0
2004,NA
2005,NA
2006,NA
2007,NA
2008,0
2009,354.5
2010,110.5
2011,NA
2012,88.9
2013,NA
2014,0
2015,0
2016,941.8
2017,160
2018,121.9
2019,83.8
2020,NA
2021,101.6
2022,0
2023,0
2024,217.7
2025,NA
