year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1990,0,0,1,3,3.79,3,0,0,3.94,0,0,1,15.73
1991,1,3,1,1,0,3.99,0,1,4.86,3.96,8.99,2,30.79
1992,4,1,6,8,6,4.73,0,3,1,5.01,1,2,41.74
1993,0,1,4,7.82,4.96,1.87,0,1,4.75,2.01,2,3,32.42
1994,6,3,3,2.01,5,1,4,10,3.95,4,2,0,43.96
1995,4,2,0,1.96,1,6,0,0,4.73,0.01,9,12.92,41.62
1996,3,7,9,8,5,6.71,10.96,11.69,7,10.97,7,2,88.34
1997,2,0,0,3.04,5,5.97,1,7,3,0,3,3,33.01
1998,2,0,4.87,1,0,3,3,8,4.84,2,2,3,33.71
1999,4,5.96,10,4,10.91,11.92,12.66,6.9,13.55,10,6,11.99,107.88
2000,7,8,2,11,4.96,10,NA,NA,NA,NA,NA,NA,NA
2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,NA,NA,NA,NA,NA,NA,7,0,0,2,0.88,NA
2003,5,0,1,2,1,2.99,NA,0,2,2.73,2,1,NA
2004,2.97,0,3.92,3.01,2,0,1,2,1,0,0,4.95,20.86
2005,3,0,3,5.65,3,2,0,0,0,1,0,1.77,19.42
2006,0,0.7,2.88,0,5,3.95,9,5,1,4,1,3,35.53
2007,0.69,1.94,2,4,5.88,0.92,7,0,0,0.94,4,0,27.36
2008,2.97,2,2,5,2,0,1,2,0,5.7,7.97,0.99,31.64
2009,3,6,3,2.87,2,0,4.99,1,2.74,1.96,0,0,27.56
2010,7.99,5,2.91,2,0,0,3,0,2,3.68,1,10,37.57
2011,3,0,1,0.01,3.86,0,0.94,0,5.55,3.95,1,0,19.3
2012,1,2,0,3.62,0,4.94,0,2.87,0.74,1,1,0,17.17
2013,0,1,3.69,0,4,0,0,3,0,2,5,0,18.69
2014,8,0,3,1,1.87,0,0,1,0,1,6.71,0,22.58
2015,2,3.87,1,0,0.99,0,1,0.9,2,1,0,0,12.75
2016,1,1,0,0.86,1,0.96,0,0,0,0,0,0,4.82
2017,0,0,3,0,1.74,0,1,2,5,2.87,1,0,16.61
2018,8,0,3,3,1,0,1,0,0,0,0.88,0,16.88
2019,0,0,2,1,0,2,6,1,0,0,1,0,13
2020,NA,1,1,0,4.64,0.77,0,0,3,0,1,2,NA
2021,0,0,1,5,5,2,1,NA,NA,0,1,0,NA
2022,1,0,2,2,0.68,1,0,1,1,4,1.91,5,19.58
2023,0,0,3,0,5,2,0,0,1.99,1.88,3,0,16.87
2024,1.99,0,1,1,0.86,1,0,1,0.99,3,0,2,12.83
2025,3,2,1,0,0,0,0,2,4,0,NA,NA,NA
