year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1986,8.9,13.9,15.6,16.1,20.6,22.8,25.6,23.3,22.8,22.8,19.4,16.7,25.6
1987,11.7,8.3,16.7,15.6,20.6,25.6,24.4,24.4,22.8,12.2,17.8,16.1,25.6
1988,15.6,13.9,17.2,17.2,19.4,22.8,23.9,23.3,22.8,20.6,16.7,11.7,23.9
1989,13.3,15.6,15.6,18.9,22.2,22.2,23.3,23.3,22.8,20.6,18.3,11.1,23.3
1990,11.7,17.2,19.4,17.8,21.1,23.3,24.4,23.3,22.2,21.1,17.8,18.9,24.4
1991,13.3,15.6,18.3,18.9,23.3,23.3,24.4,25,22.2,20.6,18.9,20,25
1992,12.2,16.1,15.6,19.4,17.8,22.8,24.4,22.2,22.8,17.8,17.8,14.4,24.4
1993,16.7,8.3,14.4,18.3,21.1,23.9,26.7,23.3,23.3,19.4,18.9,10.6,26.7
1994,10,17.2,15.6,18.9,20,24.4,26.7,23.9,22.2,20,16.1,17.8,26.7
1995,16.1,13.9,18.9,18.3,21.7,24.4,24.4,27.2,22.8,21.1,21.7,11.7,27.2
1996,14.4,16.1,15,19.4,25,23.9,23.9,23.3,23.9,18.9,15,14.4,25
1997,14.4,17.8,17.8,16.1,21.1,22.8,24.4,24.4,22.2,18.3,16.7,8.9,24.4
1998,19.4,12.8,15.6,19.4,22.2,24.4,24.4,24.4,23.3,21.7,17.2,17.2,24.4
1999,16.1,12.2,12.2,21.1,18.3,23.3,25.6,25,23.9,20.6,17.8,11.1,25.6
2000,12.2,10.6,16.1,16.1,22.8,24.4,24.4,24.4,24.4,17.8,20,6.7,24.4
2001,17.8,13.3,17.8,17.8,20.6,22.2,24.4,23.9,22.8,20,18.9,13.9,24.4
2002,17.8,12.2,15.6,20,22.2,22.8,25,24.4,23.9,22.2,17.2,7.8,25
2003,10.6,13.3,16.7,15.6,21.7,22.8,27.8,24.4,22.2,18.3,21.7,3.3,27.8
2004,13.9,8.9,17.2,18.3,22.8,23.9,24.4,24.4,23.9,21.1,20,15.6,24.4
2005,14.4,10,12.2,16.1,18.3,23.3,30,26.1,22.2,20.6,16.7,12.2,30
2006,11.7,13.3,16.7,17.2,20.6,26.7,22.8,23.3,23.3,20,16.1,15,26.7
2007,13.9,NA,NA,NA,17.8,NA,NA,30.6,23.3,NA,NA,14.4,NA
2008,NA,8.3,NA,NA,17.8,20.6,21.1,22.2,NA,17.2,13.9,15.6,NA
2009,12.8,8.9,14.4,15,20,23.3,23.3,23.9,22.2,20,16.7,9.4,23.9
2010,8.3,8.3,13.9,16.1,20.6,24.4,24.4,25.6,22.2,21.7,15,9.4,25.6
2011,10,11.7,15.6,20.6,19.4,22.8,24.4,24.4,21.7,17.2,16.1,13.3,24.4
2012,9.4,13.9,16.1,17.2,20,21.1,23.9,21.7,22.2,20.6,11.7,13.3,23.9
2013,15,10,12.2,15.6,18.3,22.8,21.7,23.3,22.2,20,17.2,18.9,23.3
2014,10.6,11.7,13.3,18.9,NA,21.1,23.9,22.2,21.7,18.9,14.4,10.6,NA
2015,11.7,9.4,15,18.3,18.9,21.7,24.4,22.8,19.4,17.2,18.9,19.4,24.4
2016,7.2,12.2,17.8,21.1,21.7,25.6,25.6,24.4,22.8,19.4,17.8,15,25.6
2017,15,15.6,17.8,21.7,21.1,23.9,25,24.4,21.7,24.4,14.4,12.2,25
2018,13.9,17.8,14.4,17.2,22.2,23.9,23.9,22.8,23.9,23.3,16.7,15.6,23.9
2019,18.3,13.9,16.1,20,20.6,21.7,22.2,22.2,22.2,20.6,11.1,16.1,22.2
2020,16.7,15.6,17.2,18.3,21.1,21.7,22.8,23.3,23.3,20,20,13.3,23.3
2021,15.6,16.1,17.2,17.2,20,22.8,23.3,22.8,21.7,20,8.9,15,23.3
2022,18.3,15,16.7,16.1,20,22.2,22.8,22.2,21.1,15.6,18.9,13.3,22.8
2023,15,16.7,16.1,18.9,18.9,22.8,24.4,24.4,21.1,17.8,14.4,15.6,24.4
2024,17.2,13.3,15,18.3,22.2,23.3,23.9,23.3,22.2,18.9,18.9,13.9,23.9
2025,7.8,16.1,16.1,20.6,21.7,22.8,23.9,NA,NA,NA,NA,NA,NA
