year,r10mm
1919,NA
1920,NA
1921,NA
1922,NA
1923,NA
1924,NA
1925,NA
1926,NA
1927,NA
1928,NA
1929,NA
1930,NA
1931,NA
1932,NA
1933,NA
1934,NA
1935,NA
1936,NA
1937,NA
1938,NA
1939,NA
1940,NA
1941,NA
1942,NA
1943,NA
1944,NA
1945,NA
1946,NA
1947,53
1948,46
1949,33
1950,30
1951,26
1952,49
1953,36
1954,22
1955,35
1956,31
1957,34
1958,39
1959,42
1960,40
1961,38
1962,43
1963,33
1964,48
1965,42
1966,42
1967,32
1968,34
1969,37
1970,32
1971,43
1972,44
1973,42
1974,38
1975,47
1976,44
1977,NA
1978,29
1979,49
1980,35
1981,33
1982,36
1983,42
1984,39
1985,37
1986,28
1987,38
1988,29
1989,41
1990,27
1991,57
1992,46
1993,45
1994,54
1995,NA
1996,26
1997,44
1998,39
1999,30
2000,31
2001,26
2002,34
2003,51
2004,36
2005,44
2006,33
2007,NA
2008,NA
2009,42
2010,34
2011,32
2012,35
2013,52
2014,NA
2015,40
2016,38
2017,37
2018,44
2019,32
2020,52
2021,42
2022,37
2023,43
2024,32
2025,NA
