year,r10mm
1904,NA
1905,33
1906,43
1907,32
1908,37
1909,36
1910,38
1911,30
1912,53
1913,26
1914,34
1915,39
1916,37
1917,36
1918,32
1919,30
1920,47
1921,39
1922,44
1923,30
1924,40
1925,25
1926,NA
1927,30
1928,NA
1929,43
1930,41
1931,24
1932,36
1933,36
1934,29
1935,40
1936,44
1937,49
1938,29
1939,33
1940,31
1941,37
1942,36
1943,36
1944,46
1945,41
1946,30
1947,57
1948,46
1949,36
1950,37
1951,39
1952,30
1953,49
1954,26
1955,37
1956,38
1957,43
1958,36
1959,59
1960,36
1961,39
1962,42
1963,42
1964,42
1965,44
1966,49
1967,39
1968,32
1969,33
1970,37
1971,36
1972,32
1973,NA
1974,35
1975,47
1976,57
1977,39
1978,37
1979,NA
1980,NA
1981,30
1982,NA
1983,41
1984,38
1985,44
1986,40
1987,46
1988,49
1989,43
1990,25
1991,52
1992,43
1993,40
1994,44
1995,34
1996,29
1997,44
1998,31
1999,NA
2000,NA
2001,NA
2002,NA
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,37
2018,NA
2019,NA
2020,39
2021,45
2022,31
2023,48
2024,39
2025,NA
