year,r25mm
1919,NA
1920,NA
1921,NA
1922,NA
1923,NA
1924,NA
1925,NA
1926,NA
1927,NA
1928,NA
1929,NA
1930,NA
1931,NA
1932,NA
1933,NA
1934,NA
1935,NA
1936,NA
1937,NA
1938,NA
1939,NA
1940,NA
1941,NA
1942,NA
1943,NA
1944,NA
1945,NA
1946,NA
1947,17
1948,17
1949,6
1950,7
1951,6
1952,16
1953,13
1954,5
1955,15
1956,13
1957,14
1958,12
1959,19
1960,17
1961,16
1962,14
1963,13
1964,21
1965,11
1966,17
1967,13
1968,11
1969,16
1970,12
1971,17
1972,12
1973,13
1974,10
1975,17
1976,17
1977,NA
1978,14
1979,21
1980,10
1981,10
1982,8
1983,14
1984,15
1985,17
1986,8
1987,11
1988,8
1989,18
1990,8
1991,18
1992,16
1993,13
1994,21
1995,NA
1996,8
1997,19
1998,17
1999,13
2000,10
2001,11
2002,15
2003,22
2004,13
2005,16
2006,12
2007,NA
2008,NA
2009,14
2010,13
2011,10
2012,17
2013,18
2014,NA
2015,13
2016,15
2017,10
2018,16
2019,12
2020,19
2021,16
2022,17
2023,17
2024,16
2025,NA
