year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1899,0,NA,5,1,12,11,13,11,2,2,3,0,NA
1900,2,2,0,5,6,20,8,13,8,10,8,NA,NA
1901,2,0,2,1,4,8,9,6,8,2,0,2,44
1902,0,0,0,1,9,10,11,8,2,4,4,3,52
1903,3,5,16,1,2,1,4,6,4,3,5,0,50
1904,1,2,7,2,2,0,0,1,1,0,0,3,19
1905,2,1,6,5,14,6,6,1,6,5,1,0,53
1906,2,0,2,3,3,10,0,12,10,9,3,4,58
1907,9,2,9,0,4,3,8,4,7,0,2,3,51
1908,0,4,12,14,5,2,3,2,2,0,3,5,52
1909,3,3,1,3,3,10,5,2,6,0,2,1,39
1910,1,1,3,2,2,2,0,4,6,8,1,2,32
1911,4,3,1,3,2,3,3,0,7,8,0,3,37
1912,0,0,3,5,4,3,3,0,8,5,2,6,39
1913,9,2,6,2,0,NA,NA,NA,NA,2,NA,1,NA
1914,2,2,1,0,0,2,0,0,0,1,4,5,17
1915,2,1,0,0,2,1,2,1,2,5,3,1,20
1916,8,3,1,0,2,0,0,2,0,7,5,4,32
1917,6,3,3,1,1,0,0,0,1,3,0,0,18
1918,1,2,4,5,1,1,1,2,1,9,2,7,36
1919,2,4,7,2,5,1,0,2,2,18,8,5,56
1920,5,1,3,7,1,1,1,0,2,1,1,2,25
1921,2,3,12,4,0,2,0,0,3,5,6,2,39
1922,2,9,8,9,0,3,2,0,3,5,1,7,49
1923,2,6,5,2,1,0,0,2,1,2,0,8,29
1924,3,0,2,1,3,2,1,2,2,0,0,5,21
1925,4,4,5,1,0,3,3,4,15,7,2,3,51
1926,3,2,1,2,2,5,0,1,5,4,3,7,35
1927,2,12,4,4,2,6,0,3,5,4,4,6,52
1928,3,1,3,3,1,3,1,2,2,8,1,3,31
1929,7,4,8,5,4,1,0,3,5,3,8,2,50
1930,3,0,2,3,5,0,8,2,9,1,6,2,41
1931,1,1,0,0,1,3,7,2,4,3,6,13,41
1932,13,10,3,3,1,4,9,1,2,4,6,11,67
1933,12,4,4,3,9,3,1,1,7,4,3,9,60
1934,4,0,2,5,1,5,4,3,4,4,6,2,40
1935,5,4,8,6,6,4,0,1,2,2,6,1,45
1936,2,0,4,5,0,3,8,2,4,8,0,3,39
1937,21,3,2,3,3,3,0,1,1,8,2,2,49
1938,3,6,10,4,6,1,0,2,4,1,9,1,47
1939,4,10,6,6,1,8,1,0,9,3,2,1,51
1940,0,1,2,4,1,4,5,9,1,0,4,7,38
1941,2,0,0,3,1,5,6,9,6,8,4,6,50
1942,1,1,4,3,2,7,4,0,5,3,4,2,36
1943,4,2,5,1,4,4,2,4,0,0,0,4,30
1944,1,8,5,5,0,1,0,0,6,1,3,1,31
1945,2,8,13,11,2,4,1,1,8,2,4,0,56
1946,6,1,6,5,3,1,0,0,3,2,9,4,40
1947,6,0,0,7.9,0.87,0,0,0,2.71,10.73,0,1,29.21
1948,0,1,6,7,2,0,1.99,0,1,1,6,7.92,33.91
1949,10.69,6,6.56,1,1.87,2,3.82,1,3,7,1,5,48.94
1950,8.71,8,1,2,5.99,3,0,0,1.97,6,0.64,0,37.31
1951,1.87,0.99,5.99,1,0,0,0,1,0,2,5,5,22.84
1952,7.58,0,2,0,0,1.99,0,0,0,0,1.05,0,12.62
1953,2,1,1.95,0,0,0,0,0,0,0,2,2,8.95
1954,2,1,1,1,0,0,5.95,1.96,3.99,7,4,1,28.9
1955,0.69,3,8.66,6,7,0,2,1,5.86,1,4,1,40.21
1956,1,7.99,4,3.7,7.94,1,1,1,0,1,3.12,8.97,40.71
1957,6,12,1,2,7,3,1,3,8,0,2,3,48
1958,0,2.9,0,2,4,5,1,0,6,0,2.66,0,23.56
1959,0,4.68,1,5,6.97,4,1,1,5.88,8.9,1,1,40.43
1960,1,1,0.64,0,0,1,3,0,4,4,1.97,0,16.61
1961,0,4.92,5,2,1,0,0,2,3.97,0,NA,3.95,NA
1962,5,3,1,3.03,3.96,0,2,0,0,1.99,NA,NA,NA
1963,NA,NA,NA,3,2,3,0,3,1,2,3,0.96,NA
1964,0,0,3,3,2,4.73,1,1,2,3,2,5,26.73
1965,0,5.57,0,NA,2.87,1,0,0.69,1,3,0.05,1.62,NA
1966,0,2,2,3,5.56,0.86,1,1,2.71,2.88,1,1,23.01
1967,3,NA,4.99,5.01,2,0,0,0,0,0,NA,4,NA
1968,0,0,2,3.68,3,2,0,0,0,4.99,0,0,15.66
1969,0.88,0,1,3.78,1,0,4.87,0,0,4.92,0,0,16.45
1970,0.9,2,2,5.23,1,0,1,0,0,0,0,3.97,16.1
1971,2,1,2,0,0,0,0,0,0,3,5.53,4,17.53
1972,10.65,1,0,7,0,0,NA,1,4.97,3.99,4,NA,NA
1973,3.71,1.75,10.99,1,1,0,0,NA,0,0,NA,NA,NA
1974,14,3,6.68,2,NA,NA,0,1,NA,0,1.97,3,NA
1975,8,6,3.99,2,2.99,NA,NA,16,0,NA,NA,NA,NA
1976,NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA
1977,NA,NA,NA,2,0,0,0,0,0,1,1.69,2.97,NA
1978,0,0,NA,0.9,0,2,0.95,0,0,0,2,3,NA
1979,0,2,0,5,4.57,2,0,0,4,0,2,0,19.57
1980,0,0,1,0,1,0,1.99,2.66,1,0,0,NA,NA
1981,NA,1,1,2,0,9.66,6,2,0,1.99,2.12,0,NA
1982,1.97,5,7,2,2,3,5,3.66,3,3.99,4.99,11,52.61
1983,0,3,4,3.65,1,2,7,2,5,3,2.97,3,36.62
1984,0,3,2.95,3,2,6,0,0,0,7.91,2,2,28.86
1985,1,2,2,2,2,6,1,0,0,7,11.69,2,36.69
1986,1,4.64,2.97,1.01,1.88,5,8.83,2,7,8.68,10.71,4.71,58.44
1987,1.99,0,8,0,0,2,3.84,5,1.88,0,5.94,2,30.65
1988,3.97,NA,3,2,0,1.99,1.96,1.69,4,0,3.95,1,NA
1989,6.69,4.88,4.51,1,1.99,1,0,1,6.7,8,2,NA,NA
1990,4,8,2,1,NA,2,0.95,0,2,5,2,4,NA
1991,4,2,6.99,6.92,12.56,0,3.94,0.66,1,3.03,2,5,48.09
1992,0.97,4,1.9,3.62,0,1,2.96,3,3,1.99,10.97,4,NA
1993,5,1,1,2,1,3,6.87,1,2,2.95,3,0.97,29.79
1994,1,2,6,3,3,1,NA,0.97,0,2.88,7.65,3,NA
1995,2,2,3,4,5,1,3,4,0,7.97,1,1.96,34.94
1996,3.71,0,3,2.56,3,0,1,0,1,1,0,1,16.27
1997,2,2,5.27,2.01,0,0,0,0,0,0,0,0,11.29
1998,6,2,2,4.97,2,3,1,0.69,1,1,5,3,31.66
1999,4.94,2,0,6.91,1,3,2,2,0,2,NA,1,NA
2000,1,0,1,1,5,1,2,NA,NA,0,1,0,NA
2001,1,1,2,0.03,2,0,3,1,0,1,NA,2.96,NA
2002,1.55,1,2,2.71,1,0,1,NA,0.99,1,2,0,NA
2003,0,0,0,0,0,1,0,0,NA,0,6,1,NA
2004,2,2,1,0,0,0,0,NA,1,0,0,1.57,NA
2005,1,0,NA,0,NA,NA,0,1,0,NA,0,NA,NA
2006,NA,3,2,6,2,1,1,3.66,NA,3,1,7,NA
2007,7,0,4,3.9,0,0.86,2.96,5,1,NA,1,3.99,NA
2008,1,3,2,1,1,0,0,0,0,0,2,3,13
2009,4,0,1,0,0,0,0,0,0,2,2,0,9
2010,0,0,0,3,9,15.73,8.78,14.96,1,3,3,0,58.47
2011,1,1.74,2.95,9.99,2,4,3.99,3,4.69,2,4,3,42.35
2012,5,NA,6,NA,0,0,1,0,0,2,NA,3,NA
2013,NA,0,NA,0,0,NA,0,0,0,NA,NA,3.97,NA
2014,1,0,0,0,2,0,0,0,0,0,NA,NA,NA
2015,NA,NA,0,3,0,1,0,0,NA,NA,NA,NA,NA
2016,NA,2,7,0.7,2.96,8.39,3,0,3.56,1,1,5.65,NA
2017,5,2,3,5,2,4.99,0.9,8,2,7.88,0,5.99,46.75
2018,3,13,0.96,0,8,5.88,0.97,0,11.92,NA,4,5,NA
2019,5,2,2.99,4,5.75,1.86,4.82,3,5.97,5.03,0,4,44.42
2020,6,4.99,8.97,2,3,NA,4.9,9.75,NA,NA,7.77,1,NA
2021,3,2,3.99,1,3,7.31,5,13,4.94,4.77,0,9,57
