year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1959,3.3,7.8,10.6,12.2,23.9,27.8,27.2,29.4,22.2,16.7,7.2,5,3.3
1960,5,8.9,3.3,15.6,19.4,26.7,28.3,27.2,23.3,17.8,12.2,3.9,3.3
1961,0,0.6,12.2,16.7,21.1,17.8,28.9,24.4,18.3,17.2,NA,NA,NA
1962,2.2,14.4,7.2,16.1,23.3,26.1,28.9,27.8,18.9,18.3,NA,NA,NA
1963,NA,NA,NA,17.8,19.4,22.2,27.2,29.4,20.6,20.6,12.2,4.4,NA
1964,2.8,8.9,10,16.1,17.2,26.1,24.4,25,18.3,16.1,13.3,7.8,2.8
1965,3.3,5,8.9,NA,25,24.4,27.2,27.2,18.3,16.1,15.6,7.8,NA
1966,-3.3,8.9,9.4,20,22.2,25,26.1,25.6,23.9,20,11.7,7.2,-3.3
1967,8.9,NA,13.3,20.6,14.4,21.1,26.7,20,22.2,20.6,NA,9.4,NA
1968,-1.7,3.3,8.3,20,24.4,23.9,28.3,23.9,27.2,18.3,8.3,6.1,-1.7
1969,4.4,2.2,10.6,20.6,23.3,30,31.7,24.4,20.6,17.2,8.9,8.9,2.2
1970,-1.7,6.7,12.2,17.2,25.6,26.7,30.6,27.8,22.8,17.8,7.2,6.1,-1.7
1971,5.6,5,6.7,15.6,22.2,30.6,28.3,27.8,28.9,21.7,7.8,7.2,5
1972,3.9,8.9,14.4,15.6,20,23.9,NA,28.3,27.8,21.1,8.9,5.6,NA
1973,2.2,-2.2,17.2,16.1,22.8,26.7,31.7,NA,26.7,23.9,NA,NA,NA
1974,10.6,10.6,16.1,18.3,NA,NA,29.4,28.3,NA,17.2,11.1,6.7,NA
1975,8.3,5.6,8.3,16.1,23.9,NA,NA,31.1,22.8,NA,NA,NA,NA
1976,NA,NA,NA,NA,NA,NA,28.3,20.6,20,10.6,7.8,6.1,NA
1977,-0.6,7.8,16.1,18.3,23.9,26.1,28.3,23.9,27.2,13.3,7.8,5,-0.6
1978,2.2,5,6.1,15.6,18.3,28.3,28.3,29.4,23.9,20.6,20,8.3,2.2
1979,0.6,-1.1,15.6,20,23.3,20.6,28.9,29.4,22.8,17.2,14.4,9.4,-1.1
1980,8.3,3.9,-2.2,21.1,18.9,26.1,25.6,26.1,18.9,18.3,11.1,NA,NA
1981,NA,5.6,10,21.1,18.3,31.7,25.6,23.3,23.3,19.4,14.4,3.9,NA
1982,-1.1,7.2,12.8,13.3,26.7,22.2,28.3,29.4,23.3,12.8,15,7.2,-1.1
1983,3.9,6.1,11.7,14.4,25,24.4,30,28.3,21.7,21.7,15,0,0
1984,3.3,8.3,11.1,19.4,23.3,27.8,27.8,26.1,21.7,21.7,10,8.9,3.3
1985,-1.7,7.2,15.6,19.4,25.6,27.2,28.9,28.3,24.4,19.4,19.4,4.4,-1.7
1986,2.2,10.6,11.1,21.1,25.6,26.1,31.1,21.7,26.7,20,11.1,9.4,2.2
1987,6.7,8.3,8.3,13.9,25.6,30,31.7,28.9,25,18.9,12.8,10.6,6.7
1988,0.6,NA,12.2,19.4,23.9,26.7,26.1,26.7,23.9,20,NA,3.9,NA
1989,NA,5.6,5.6,10,23.3,30,28.9,23.9,18.9,15.6,11.1,-1.7,NA
1990,12.2,15,12.8,16.1,NA,28.3,30,30,25.6,17.2,20,10,NA
