year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1995,1,2,0.99,2,2.99,6.74,0,0,2,0,1.87,5.9,25.48
1996,2.99,3.04,7,4.87,4,5.87,2.94,4,5,7.96,6,3,56.66
1997,4.88,1.04,1,12,14.83,9.95,9.78,19.97,6.82,6,8.97,4,99.25
1998,3,0,5,5.83,0,2,3,8,4,3.84,0,0,34.68
1999,1.86,4,6,1,3,4,2,1,7,5,NA,4.87,NA
2000,2,2,0,2,2,5,5,NA,NA,7,6.94,11.9,NA
2001,8,1.03,6,6,4,3,7,5,7.88,12.03,NA,5,NA
2002,4.95,5,6,0,11,3.99,8.97,NA,0,0,7.9,8.71,NA
2003,11.86,5,1,4,6,9.66,14.64,8.87,NA,8,0.92,1,NA
2004,2,1,3,5,2,0,3.99,NA,6,1.94,5,11,NA
2005,4.96,7,NA,12,NA,NA,22.84,22,13.95,NA,9,NA,NA
2006,NA,0.87,3.83,0,6,3,3,0,NA,5,1,2.04,NA
2007,0,1,3,4,3.97,1,6,0,2,NA,5,1,NA
2008,3,2.95,3.69,5.01,7,4,6.92,5,5,7.03,12,5,66.6
2009,5.66,8.9,4,4,2,0,17.92,4.73,0,6,3,4,60.21
2010,14.65,14.9,7.56,2,0,0,2,2,2,2.03,3,9.79,59.92
2011,4.99,0,1,1,4,0,2.82,0,4.9,4,1,1.05,24.75
2012,1,NA,0,NA,1,6.99,1,3,5,1,NA,1,NA
2013,NA,3.04,NA,2,4,NA,0,6.82,7,NA,NA,0,NA
2014,8.69,2.04,7.75,3,6,4,13.86,6.92,2.99,4.03,NA,NA,NA
2015,NA,NA,4,0,2,0,2,6,NA,NA,NA,NA,NA
2016,NA,0,0,0,2,1.99,0,0,0,0,0,0,NA
2017,0,0,5,0,1,1,1,2,1,1,0,0,12
2018,9,0,3.96,2,1,0,0,0,0,NA,0,0,NA
2019,0,0,0.95,1.97,0,1.88,3.62,0,0,0,1,0,9.43
2020,0,1.95,0,0,3.61,NA,0,0,NA,NA,0,2,NA
2021,0,0,0,7,3.57,1.99,0,0,2,0,0.75,0,15.31
2022,1,0,3,2,1,0.99,0,0,2,4.03,0,4,18.01
2023,0,0,5,0,3,1,0,0,0,3,1,0,13
2024,1,0,0,1,0,0.94,0,0,0,1,0,3.69,7.62
2025,4,1,NA,1,0,0,0,NA,NA,NA,NA,NA,NA
