year,r25mm
1895,NA
1896,9
1897,NA
1898,NA
1899,13
1900,NA
1901,10
1902,16
1903,NA
1904,8
1905,12
1906,13
1907,14
1908,14
1909,7
1910,14
1911,14
1912,19
1913,11
1914,12
1915,17
1916,12
1917,7
1918,14
1919,13
1920,18
1921,12
1922,20
1923,14
1924,21
1925,11
1926,22
1927,NA
1928,NA
1929,NA
1930,15
1931,6
1932,17
1933,9
1934,17
1935,11
1936,11
1937,17
1938,15
1939,8
1940,10
1941,14
1942,14
1943,13
1944,10
1945,NA
1946,13
1947,15
1948,25
1949,8
1950,9
1951,NA
1952,13
1953,NA
1954,6
1955,12
1956,11
1957,10
1958,16
1959,15
1960,NA
1961,13
1962,18
1963,9
1964,25
1965,13
1966,14
1967,11
1968,6
1969,13
1970,13
1971,17
1972,11
1973,17
1974,16
1975,9
1976,18
1977,11
1978,13
1979,17
1980,10
1981,11
1982,9
1983,15
1984,14
1985,14
1986,10
1987,11
1988,9
1989,15
1990,13
1991,17
1992,19
1993,13
1994,12
1995,19
1996,12
1997,23
1998,15
1999,9
2000,NA
2001,NA
2002,NA
2003,NA
2004,15
2005,12
2006,11
2007,11
2008,14
2009,18
2010,14
2011,13
2012,9
2013,17
2014,15
2015,14
2016,14
2017,15
2018,15
2019,10
2020,NA
2021,NA
2022,10
2023,21
2024,15
2025,NA
