year,r25mm
1899,NA
1900,NA
1901,8
1902,17
1903,NA
1904,14
1905,10
1906,17
1907,14
1908,18
1909,9
1910,16
1911,13
1912,18
1913,NA
1914,11
1915,12
1916,15
1917,8
1918,NA
1919,16
1920,15
1921,13
1922,21
1923,14
1924,14
1925,15
1926,17
1927,13
1928,19
1929,19
1930,16
1931,3
1932,15
1933,11
1934,11
1935,15
1936,13
1937,15
1938,11
1939,16
1940,11
1941,14
1942,10
1943,19
1944,13
1945,19
1946,13
1947,24
1948,26
1949,7
1950,NA
1951,10
1952,11
1953,16
1954,9
1955,11
1956,9
1957,16
1958,10
1959,16
1960,16
1961,15
1962,NA
1963,NA
1964,22
1965,NA
1966,16
1967,NA
1968,9
1969,15
1970,16
1971,21
1972,21
1973,NA
1974,NA
1975,NA
1976,NA
1977,NA
1978,11
1979,NA
1980,NA
1981,10
1982,17
1983,22
1984,15
1985,18
1986,21
1987,11
1988,NA
1989,NA
1990,NA
1991,NA
1992,17
1993,19
1994,NA
1995,NA
1996,10
1997,13
1998,18
1999,18
2000,NA
2001,NA
2002,16
2003,16
2004,NA
2005,NA
2006,NA
2007,NA
2008,20
2009,21
2010,14
2011,NA
2012,16
2013,NA
2014,16
2015,20
2016,17
2017,17
2018,17
2019,17
2020,NA
2021,17
2022,12
2023,18
2024,20
2025,NA
