year,r99p
1919,NA
1920,NA
1921,NA
1922,NA
1923,NA
1924,NA
1925,NA
1926,NA
1927,NA
1928,NA
1929,NA
1930,NA
1931,NA
1932,NA
1933,NA
1934,NA
1935,NA
1936,NA
1937,NA
1938,NA
1939,NA
1940,NA
1941,NA
1942,NA
1943,NA
1944,NA
1945,NA
1946,NA
1947,0
1948,324.6
1949,133.1
1950,0
1951,0
1952,78
1953,91.4
1954,0
1955,87.1
1956,0
1957,0
1958,0
1959,201.9
1960,94.7
1961,77.7
1962,0
1963,0
1964,339.8
1965,77.7
1966,108.7
1967,0
1968,77.5
1969,0
1970,185.9
1971,109.5
1972,0
1973,0
1974,96
1975,79.8
1976,0
1977,NA
1978,0
1979,245.6
1980,176
1981,0
1982,0
1983,0
1984,116.8
1985,0
1986,0
1987,0
1988,181.1
1989,92.2
1990,253.7
1991,0
1992,0
1993,0
1994,0
1995,NA
1996,132.3
1997,193.3
1998,217.2
1999,109.7
2000,199.4
2001,0
2002,0
2003,77.2
2004,78.7
2005,0
2006,91.4
2007,NA
2008,NA
2009,87.6
2010,84.3
2011,0
2012,85.9
2013,155.5
2014,NA
2015,348
2016,430.3
2017,268.7
2018,88.1
2019,78.7
2020,204.3
2021,0
2022,0
2023,277.2
2024,359.1
2025,NA
