year,cdd
1899,NA
1900,NA
1901,23
1902,19
1903,NA
1904,25
1905,15
1906,23
1907,17
1908,19
1909,19
1910,31
1911,41
1912,20
1913,NA
1914,24
1915,25
1916,23
1917,19
1918,NA
1919,27
1920,21
1921,17
1922,51
1923,19
1924,25
1925,18
1926,14
1927,22
1928,23
1929,16
1930,31
1931,48
1932,17
1933,28
1934,43
1935,24
1936,38
1937,14
1938,16
1939,23
1940,19
1941,28
1942,33
1943,24
1944,20
1945,21
1946,16
1947,20
1948,19
1949,22
1950,NA
1951,21
1952,32
1953,35
1954,20
1955,36
1956,21
1957,18
1958,17
1959,13
1960,17
1961,39
1962,NA
1963,NA
1964,38
1965,NA
1966,30
1967,NA
1968,28
1969,22
1970,31
1971,27
1972,44
1973,NA
1974,NA
1975,NA
1976,NA
1977,NA
1978,27
1979,NA
1980,NA
1981,22
1982,22
1983,18
1984,18
1985,29
1986,18
1987,24
1988,NA
1989,NA
1990,NA
1991,NA
1992,24
1993,17
1994,NA
1995,NA
1996,22
1997,19
1998,25
1999,19
2000,NA
2001,NA
2002,15
2003,24
2004,NA
2005,NA
2006,NA
2007,NA
2008,12
2009,16
2010,20
2011,NA
2012,18
2013,NA
2014,23
2015,17
2016,36
2017,17
2018,18
2019,22
2020,NA
2021,23
2022,22
2023,21
2024,32
2025,NA
